rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,224517,8.99756,8.89475,78
2,174430,8.96203,8.86151,79
3,295785,9.21053,8.80021,19
4,115746,9.03125,8.78849,32
5,187645,8.96667,8.75319,36
6,181819,9.30769,8.72217,13
7,256960,8.89394,8.66721,33
8,162886,8.66250,8.54270,60
9,12333,8.62466,8.52671,73
10,233078,8.71875,8.49747,32
11,205637,8.62778,8.49668,54
12,175155,8.90625,8.46804,16
13,167791,8.50935,8.46207,148
14,291457,8.55789,8.43621,57
15,366013,8.56042,8.41686,48
16,255984,8.74000,8.39773,20
17,124742,8.70952,8.38499,21
18,342942,8.43273,8.31195,55
19,169786,8.33621,8.27960,116
20,167355,8.36172,8.24973,58
21,248562,8.81818,8.23157,11
22,312484,8.30515,8.21097,68
23,235555,9.00000,8.20210,8
24,161936,8.33696,8.19838,46
25,209206,8.70833,8.18063,12
26,253344,8.52941,8.15981,17
27,170216,8.24500,8.14102,60
28,316554,8.22857,8.13950,70
29,183394,8.22772,8.11917,57
30,237182,8.18611,8.10078,72
31,271320,8.45882,8.09783,17
32,173346,8.13696,8.08843,126
33,268864,8.25000,8.04926,30
34,159692,8.65000,8.04807,10
35,246900,8.26538,8.03506,26
36,193738,8.16579,8.00977,38
37,331265,8.66667,8.00829,9
38,73171,8.60000,8.00762,10
39,264220,8.23077,8.00332,26
40,266192,8.04545,8.00135,134
41,125153,8.40714,7.98743,14
42,180263,8.21154,7.98569,26
43,182028,8.08727,7.98072,55
44,28143,8.09000,7.97315,50
45,266810,8.11974,7.96641,38
46,295947,8.10732,7.96528,41
47,216132,8.20000,7.95806,24
48,205896,8.16296,7.94872,27
49,290359,8.45455,7.93222,11
50,199792,8.00704,7.92631,71
51,205059,8.09697,7.92348,33
52,12493,8.11481,7.90444,27
53,220308,8.08125,7.90380,32
54,337765,8.46000,7.89438,10
55,229853,8.18421,7.88738,19
56,177736,8.10000,7.84789,22
57,325494,8.29167,7.83250,12
58,169255,8.28333,7.82553,12
59,37111,8.00517,7.81648,29
60,163745,8.50000,7.81609,8
61,45315,7.97143,7.81517,35
62,221107,8.15625,7.81452,16
63,276025,8.16667,7.80384,15
64,281259,8.04545,7.79863,22
65,318182,8.25000,7.79768,12
65,338957,8.25000,7.79768,12
67,188834,7.89583,7.78345,48
68,164928,7.97143,7.77914,28
69,188920,7.93939,7.77644,33
70,26997,8.13333,7.77504,15
71,172386,8.03500,7.76721,20
72,120677,7.86042,7.74970,48
73,84419,8.15385,7.74576,13
74,154597,7.97727,7.73706,22
75,126163,7.86190,7.73613,42
76,182631,8.02941,7.72081,17
77,224597,8.37500,7.71958,8
78,321608,8.11538,7.71321,13
79,2651,7.81250,7.71201,52
80,84876,7.85943,7.71025,35
81,251247,7.88333,7.70936,30
82,68448,7.75604,7.69896,91
83,3076,7.77090,7.69355,67
84,31260,7.74643,7.69355,98
85,269385,7.90833,7.69252,24
86,189932,8.26667,7.69146,9
87,285774,7.87500,7.69022,28
88,345584,8.31250,7.67133,8
89,47185,8.31125,7.67037,8
90,209010,8.13636,7.67029,11
91,247763,7.86731,7.67013,26
92,28720,7.97059,7.66916,17
93,77423,7.77500,7.66829,48
94,230914,8.08333,7.65843,12
95,132018,8.22222,7.65625,9
96,230802,7.70417,7.65123,96
97,191189,7.90000,7.64647,20
98,163412,7.70282,7.63189,71
99,263918,7.70167,7.63173,72
100,244521,7.72733,7.62685,50
101,299659,7.87500,7.62411,20
102,175914,7.93750,7.62392,16
103,176189,8.00051,7.61600,13
104,284378,8.16667,7.61225,9
105,72125,7.80000,7.60843,26
106,10630,7.78571,7.60788,28
107,14996,7.64558,7.60164,113
108,121921,7.69459,7.60095,53
109,25613,7.73056,7.59320,36
110,43111,8.00000,7.58880,12
111,186751,8.08000,7.58699,10
112,171662,7.86037,7.58654,18
113,91312,7.78000,7.58316,25
114,157354,7.74828,7.57893,29
115,171,7.68478,7.57806,46
116,280794,8.02273,7.57674,11
116,309630,8.02273,7.57674,11
118,233371,7.85294,7.56587,17
119,201808,7.68095,7.56482,42
120,296151,7.95833,7.55399,12
120,339789,7.95833,7.55399,12
122,104162,7.66395,7.55126,43
123,164153,7.75000,7.54838,24
124,103343,7.61111,7.52263,54
125,96848,7.64211,7.51673,38
126,185343,7.76316,7.51289,19
127,102794,7.58942,7.49863,52
128,178900,7.53457,7.49496,119
129,293889,7.90909,7.48319,11
130,353545,8.06250,7.47833,8
131,98229,7.86667,7.47740,12
132,73439,7.66000,7.47352,25
133,30549,7.50359,7.47313,153
134,257499,7.67391,7.47143,23
135,270633,7.97778,7.46263,9
136,174785,7.92000,7.45756,10
137,198953,7.78571,7.45572,14
138,15987,7.51912,7.45133,68
139,318184,7.71765,7.44708,17
140,220133,7.90000,7.44139,10
141,17226,7.70588,7.43675,17
142,273330,7.94444,7.43623,9
143,128780,8.00000,7.43007,8
143,209001,8.00000,7.43007,8
145,236457,7.52857,7.42055,42
146,256916,7.76923,7.42029,13
146,283864,7.76923,7.42029,13
148,194655,7.50800,7.41741,50
149,31627,7.64000,7.41394,20
150,199042,7.56786,7.40697,28
151,352697,7.85000,7.40094,10
152,374173,7.77500,7.40081,12
153,77130,7.47414,7.39688,58
154,385610,7.71429,7.39460,14
155,146021,7.48400,7.39449,50
156,147020,7.46508,7.39406,63
157,123260,7.64167,7.39320,18
158,34635,7.44643,7.39319,84
159,163154,7.88889,7.39222,9
159,310100,7.88889,7.39222,9
161,150376,7.48928,7.39211,46
162,279537,7.73077,7.38774,13
163,161970,7.49772,7.38080,38
164,172287,7.56522,7.37286,23
165,350184,7.66667,7.37187,15
166,9209,7.45000,7.36969,55
167,291453,7.53846,7.36868,26
168,331106,7.67857,7.36404,14
169,274364,7.51379,7.36211,29
170,69789,7.79700,7.35807,10
171,110327,7.50333,7.35710,30
172,31481,7.44792,7.35655,48
173,271324,7.47429,7.34946,35
174,274637,7.70833,7.34511,12
175,155426,7.47059,7.34257,34
176,39856,7.38737,7.34158,95
177,35677,7.52083,7.33975,24
178,463,7.45833,7.33774,36
179,22825,7.87500,7.33357,8
180,281549,7.72727,7.33352,11
181,40354,7.64286,7.33348,14
181,336794,7.64286,7.33348,14
183,347137,7.65385,7.32264,13
184,148228,7.38448,7.31740,64
185,364073,7.67500,7.31726,12
186,128882,7.55556,7.31708,18
187,20551,7.48077,7.31579,26
188,62219,7.60000,7.31428,15
188,301880,7.60000,7.31428,15
190,58281,7.59867,7.31312,15
191,241477,7.38667,7.31030,56
192,22038,7.66667,7.31030,12
193,54,7.50000,7.30607,22
194,25021,7.77778,7.30421,9
195,146652,7.52474,7.30084,19
196,127023,7.42121,7.29287,33
197,172931,7.61538,7.29010,13
198,92828,7.37551,7.28925,49
199,222509,7.56667,7.28548,15
200,181796,7.81250,7.28532,8
200,238799,7.81250,7.28532,8
200,267058,7.81250,7.28532,8
203,200147,7.52941,7.28181,17
204,204583,7.35167,7.28153,60
205,124361,7.44231,7.28053,26
206,205398,7.38857,7.26916,35
207,329082,7.50000,7.26797,18
208,132531,7.47000,7.26189,20
209,267319,7.63636,7.25868,11
209,294484,7.63636,7.25868,11
211,30380,7.53333,7.25668,15
212,298047,7.51562,7.25632,16
213,22827,7.53571,7.24181,14
213,193037,7.53571,7.24181,14
215,170042,7.40833,7.23733,24
216,21763,7.75000,7.23707,8
216,218417,7.75000,7.23707,8
218,223321,7.47647,7.23533,17
219,295486,7.52143,7.22959,14
220,319966,7.48125,7.22636,16
221,28023,7.43000,7.22612,20
222,130060,7.53846,7.22500,13
222,241266,7.53846,7.22500,13
224,199478,7.51429,7.22347,14
225,156009,7.27703,7.22205,74
226,40692,7.27397,7.22183,78
227,42215,7.55833,7.21978,12
228,199561,7.32051,7.21654,39
229,224710,7.66667,7.21620,9
229,249277,7.66667,7.21620,9
229,338834,7.66667,7.21620,9
232,277085,7.39130,7.21514,23
233,160477,7.42632,7.21330,19
234,328871,7.40476,7.21216,21
235,1198,7.60000,7.19871,10
235,213893,7.60000,7.19871,10
237,184267,7.41667,7.19431,18
238,59946,7.63889,7.19420,9
239,70323,7.23807,7.19263,88
240,82421,7.68750,7.18881,8
240,300751,7.68750,7.18881,8
242,15062,7.43750,7.18824,16
243,39463,7.38000,7.18140,20
244,241590,7.41176,7.17852,17
244,284435,7.41176,7.17852,17
246,239188,7.29657,7.17655,33
247,203993,7.39444,7.17466,18
248,296912,7.50000,7.17104,12
249,271896,7.43333,7.17029,15
250,822,7.19398,7.17021,166
251,233867,7.29677,7.16955,31
252,181304,7.24600,7.16723,50
253,66356,7.52273,7.16513,11
254,266524,7.30000,7.16442,29
255,198773,7.25581,7.16438,43
256,283355,7.46154,7.15991,13
257,253684,7.55000,7.15827,10
258,233247,7.35000,7.15457,20
259,54043,7.23913,7.15418,46
260,155624,7.54000,7.15018,10
261,143741,7.24390,7.14890,41
262,284083,7.27419,7.14857,31
263,2453,7.50000,7.14642,11
264,129622,7.19474,7.14365,76
265,303057,7.62500,7.14056,8
266,306735,7.26667,7.13771,30
267,131357,7.29200,7.13729,25
268,146508,7.27500,7.13690,28
269,215,7.31905,7.13511,21
270,163967,7.19531,7.13496,64
271,36218,7.17692,7.13449,91
272,371942,7.55556,7.12819,9
273,38453,7.42308,7.12736,13
274,286096,7.25000,7.12226,30
275,127398,7.34706,7.12171,17
276,13,7.14855,7.12081,138
277,93260,7.41462,7.12020,13
278,98918,7.50000,7.11782,10
279,154203,7.20089,7.11605,45
280,171623,7.22286,7.11393,35
281,40270,7.53333,7.11059,9
282,282524,7.41667,7.10141,12
283,182874,7.39231,7.10132,13
284,318977,7.21396,7.09613,32
285,192153,7.38462,7.09481,13
285,201825,7.38462,7.09481,13
287,211716,7.47000,7.09355,10
288,304783,7.56250,7.09231,8
289,284653,7.50000,7.08419,9
289,300905,7.50000,7.08419,9
291,251658,7.26190,7.08375,21
292,171131,7.25952,7.08161,21
293,161417,7.31250,7.07932,16
294,93,7.28333,7.07644,18
295,91872,7.33929,7.07374,14
296,265188,7.37500,7.06660,12
296,285967,7.37500,7.06660,12
298,176396,7.26667,7.06171,18
299,217372,7.43000,7.06120,10
300,143519,7.32143,7.05846,14
301,97207,7.24737,7.05414,19
302,2655,7.16667,7.04501,30
303,130176,7.50000,7.04406,8
304,228341,7.16786,7.03809,28
305,176494,7.17692,7.03725,26
306,6249,7.11818,7.03573,44
307,103885,7.30769,7.02972,13
307,316377,7.30769,7.02972,13
309,478,7.07313,7.02855,81
310,156858,7.28571,7.02790,14
311,209685,7.11842,7.02370,38
312,195539,7.30000,7.02321,13
313,293296,7.38000,7.02075,10
314,9441,7.16087,7.00617,23
315,180974,7.15909,6.99822,22
316,44163,7.29167,6.99697,12
317,160010,7.43750,6.99581,8
318,148949,7.10968,6.99570,31
319,36932,7.30727,6.98777,11
320,169426,7.08108,6.98619,37
321,256952,7.17222,6.97822,18
322,140620,7.13636,6.97769,22
323,254640,7.16667,6.97331,18
324,156129,7.18750,6.97040,16
324,244522,7.18750,6.97040,16
326,8095,7.20000,6.96870,15
327,54998,7.08333,6.96776,30
328,102548,7.25000,6.96216,12
329,166384,7.12500,6.95334,20
330,300300,7.37500,6.94756,8
330,341169,7.37500,6.94756,8
332,70919,7.00926,6.94600,54
333,161533,7.20000,6.93859,13
334,155987,7.17857,6.93623,14
334,245476,7.17857,6.93623,14
336,254192,7.17143,6.93012,14
337,172242,7.20833,6.92735,12
338,158600,7.08095,6.92109,21
339,155821,7.11765,6.92029,17
340,140603,7.33750,6.91860,8
341,283948,7.25000,6.91559,10
342,202408,7.08000,6.91309,20
343,200077,7.13490,6.91245,15
344,356033,7.13333,6.91110,15
345,136063,6.98444,6.91040,45
346,17053,7.16154,6.90604,13
347,73761,7.10000,6.90479,17
348,224037,6.97857,6.89984,42
349,271321,7.15385,6.89953,13
350,171233,7.31250,6.89930,8
350,317613,7.31250,6.89930,8
352,276042,7.26593,6.89878,9
353,290236,7.01852,6.89635,27
354,194594,7.01923,6.89269,26
355,227224,7.16667,6.89253,12
356,127024,7.22000,6.89133,10
357,314491,7.07647,6.88413,17
358,40834,7.00000,6.88329,28
359,176920,7.11429,6.88122,14
360,65244,6.98387,6.87880,31
361,192457,7.28125,6.87518,8
362,118,7.20000,6.87515,10
363,223040,7.05556,6.87509,18
364,50,7.02273,6.87508,22
