rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,174430,8.93682,8.69811,134
2,182028,8.82158,8.59862,139
3,291457,8.97393,8.55531,73
4,224517,8.69926,8.50415,154
5,31260,8.52620,8.44350,356
6,108687,8.89206,8.42732,63
7,162886,8.68312,8.41558,109
8,342942,8.63196,8.36423,107
9,161936,8.63929,8.34856,98
10,341169,8.82760,8.27291,50
11,3076,8.32432,8.24818,361
12,84876,8.32996,8.24572,326
13,167791,8.36225,8.24346,231
14,220308,8.44538,8.23496,130
15,205637,8.47123,8.23157,114
16,180263,8.68136,8.22021,59
17,193738,8.37903,8.19204,144
18,284378,8.75872,8.18693,47
19,233078,8.71600,8.17992,50
20,161533,8.44187,8.09571,75
21,28720,8.25285,8.08896,158
22,177736,8.26406,8.08337,143
23,25613,8.24500,8.07553,152
24,316554,8.35161,8.07471,93
25,312484,8.32683,8.07439,102
26,120677,8.17923,8.06986,235
27,175640,8.58653,8.06331,49
28,12333,8.17639,8.03550,180
29,251247,8.42154,8.03194,65
30,96848,8.28173,8.02880,100
31,102794,8.21007,8.02693,138
32,200680,8.33125,8.01661,80
33,237182,8.18662,8.01547,147
34,184267,8.50039,8.00845,51
35,18602,8.13015,8.00722,204
36,173346,8.09032,7.98543,237
37,35677,8.09559,7.95823,179
38,124361,8.14301,7.95815,133
39,2651,8.04331,7.95213,269
40,324856,8.40000,7.93218,52
41,246900,8.50730,7.92889,42
42,73439,8.05569,7.92659,188
43,205059,8.14612,7.92371,109
44,284083,8.11503,7.90410,114
45,169786,8.05612,7.90394,158
46,115746,8.26060,7.90202,67
47,28143,7.99087,7.89201,242
48,126163,8.03239,7.88599,163
49,266810,8.22426,7.87494,68
50,247763,8.17648,7.85003,72
51,124742,8.08571,7.82966,91
52,225694,8.07957,7.82908,93
53,68448,7.89404,7.82640,344
54,163068,8.24655,7.82393,55
55,178900,7.91216,7.82007,252
56,329591,8.46389,7.81947,36
57,144733,8.00910,7.80170,111
58,175914,8.02552,7.79378,99
59,283948,8.09933,7.79348,75
60,93,7.95180,7.78940,141
61,229853,8.07500,7.78884,80
62,203993,8.02708,7.78864,96
63,205896,8.03523,7.77649,88
64,279537,8.53333,7.77489,30
65,167355,8.07004,7.77459,77
66,271320,8.38757,7.77310,37
67,188,8.01383,7.77207,94
68,102680,7.93794,7.76500,131
69,285774,8.22503,7.76309,49
70,170216,7.93844,7.75911,126
71,164928,7.94112,7.74735,116
72,125153,7.97813,7.73273,91
73,103343,7.92909,7.72663,110
74,157354,7.90549,7.72323,122
75,171623,7.84985,7.72211,174
76,104162,8.06792,7.72084,64
77,104006,7.87125,7.71725,144
78,122515,7.86401,7.71436,148
79,40834,7.88968,7.71394,126
80,291453,8.02754,7.70754,69
81,25554,7.83981,7.69968,157
82,110327,7.82151,7.69106,168
83,25021,8.19767,7.68860,43
84,822,7.72775,7.67676,427
85,230802,7.75840,7.66840,241
86,185343,8.03448,7.66170,58
87,163412,7.75505,7.65698,220
88,172386,7.87190,7.65624,100
89,118,7.73732,7.65351,257
90,121921,7.84107,7.64915,112
91,159675,8.15357,7.64319,42
92,295947,7.92303,7.64123,76
93,150376,7.85350,7.63951,100
94,196340,7.93027,7.63742,73
95,70149,7.87033,7.63560,91
96,43015,7.78662,7.62780,134
97,13122,8.15000,7.61992,40
98,276025,7.97842,7.61917,59
99,72125,7.83783,7.60859,92
100,34635,7.66526,7.59185,285
101,216132,7.78830,7.59100,106
102,148319,8.18571,7.58880,35
103,256960,8.09634,7.58718,41
104,227789,7.93695,7.58371,59
105,246784,7.87971,7.58220,70
106,46213,7.73712,7.57955,132
107,126042,7.82500,7.57762,84
108,62219,7.78500,7.57724,100
109,310873,7.96923,7.57090,52
110,42,7.68990,7.56754,169
111,463,7.75833,7.56692,108
112,244521,7.73966,7.56328,117
113,183394,7.75911,7.56263,105
114,36218,7.63596,7.56230,280
115,161970,7.81317,7.56170,82
116,317985,8.09316,7.55284,38
117,146886,7.78241,7.54707,87
118,66589,7.83743,7.54520,70
119,22827,8.05641,7.53461,39
120,147020,7.69739,7.53459,125
121,236457,7.74950,7.53317,94
122,148228,7.59977,7.53289,304
123,14996,7.64641,7.52512,167
124,123260,7.72424,7.52015,99
125,192135,7.95435,7.51600,46
126,15817,7.61088,7.51578,212
127,128882,7.57547,7.51294,322
128,191189,7.93191,7.50520,47
129,155426,7.75113,7.50096,80
130,266192,7.61523,7.50025,174
131,37111,7.66398,7.49489,118
132,233398,8.04833,7.49427,36
133,18833,7.76806,7.49142,72
134,2093,7.65308,7.48743,120
135,308765,7.98250,7.48592,40
136,148949,7.62286,7.48131,140
137,2181,7.79365,7.47940,63
138,155873,8.01351,7.47864,37
139,239188,7.74000,7.47643,75
140,127060,7.68763,7.47521,93
141,219513,7.78226,7.46523,62
142,182874,7.68830,7.46496,88
143,166669,7.78814,7.45647,59
144,199792,7.64353,7.45380,103
145,108745,7.56022,7.45345,183
146,103885,7.90698,7.45276,43
147,8217,7.55912,7.45129,181
148,129622,7.52201,7.44683,259
149,14105,7.84082,7.44401,49
150,176189,8.09000,7.44241,30
151,66188,7.64565,7.43526,92
152,54043,7.56552,7.43223,145
153,249259,7.91500,7.43193,40
