country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
ua,1,368789,AFU: Armed Forces of Ukraine,2022,9.47163,9.39317,282
ua,2,224517,Brass: Birmingham,2018,8.72456,8.65904,274
ua,3,115746,War of the Ring: Second Edition,2011,8.74048,8.59955,125
ua,4,167791,Terraforming Mars,2016,8.55056,8.51826,531
ua,5,174430,Gloomhaven,2017,8.58890,8.49065,173
ua,6,175155,Forbidden Stars,2015,8.63750,8.42939,80
ua,7,167355,Nemesis,2018,8.49615,8.40542,182
ua,8,342942,Ark Nova,2021,8.52574,8.36455,101
ua,9,173346,7 Wonders Duel,2015,8.36376,8.33011,478
ua,10,233078,Twilight Imperium: Fourth Edition,2017,8.49588,8.33006,97
ua,11,264220,Tainted Grail: The Fall of Avalon,2019,8.55000,8.31475,68
ua,12,403160,Арідник (Aridnyk),2023,8.81935,8.30508,31
ua,13,316554,Dune: Imperium,2020,8.36341,8.30001,251
ua,14,187645,Star Wars: Rebellion,2016,8.45443,8.29091,97
ua,15,271320,The Castles of Burgundy,2019,8.45476,8.26751,84
ua,16,182028,Through the Ages: A New Story of Civilization,2015,8.37000,8.26246,146
ua,17,155821,Inis,2016,8.33251,8.26212,223
ua,18,341169,Great Western Trail: Second Edition,2021,8.60233,8.24015,43
ua,19,325635,Unmatched: Little Red Riding Hood vs. Beowulf,2020,8.87917,8.23217,24
ua,20,291457,Gloomhaven: Jaws of the Lion,2020,8.40337,8.22910,89
ua,21,294484,Unmatched: Cobble & Fog,2020,8.38434,8.19949,83
ua,22,220308,Gaia Project,2017,8.33962,8.19512,106
ua,23,251247,Barrage,2019,8.29767,8.12425,86
ua,24,84876,The Castles of Burgundy,2011,8.16573,8.10600,248
ua,25,297562,Kemet: Blood and Sand,2021,8.35254,8.10190,59
ua,26,312484,Lost Ruins of Arnak,2020,8.16243,8.08887,200
ua,27,72125,Eclipse: New Dawn for the Galaxy,2011,8.24767,8.07735,86
ua,28,295947,Cascadia,2021,8.25488,8.07631,82
ua,29,146021,Eldritch Horror,2013,8.12848,8.06692,237
ua,30,255984,Sleeping Gods,2021,8.36667,8.06318,48
ua,31,177736,A Feast for Odin,2016,8.32727,8.06248,55
ua,32,161936,Pandemic Legacy: Season 1,2015,8.17862,8.05351,116
ua,33,37111,Battlestar Galactica: The Board Game,2008,8.19382,8.03212,89
ua,34,169786,Scythe,2016,8.06864,8.03183,391
ua,35,184267,On Mars,2020,8.31800,8.03038,50
ua,36,157354,Five Tribes: The Djinns of Naqala,2014,8.11317,8.02717,167
ua,37,205059,Mansions of Madness: Second Edition,2016,8.10577,8.02514,178
ua,38,315610,Massive Darkness 2: Hellscape,2022,8.30392,8.02278,51
ua,39,266192,Wingspan,2019,8.05657,8.01966,388
ua,40,237182,Root,2018,8.07162,8.01937,274
ua,41,221107,Pandemic Legacy: Season 2,2017,8.35714,8.01660,42
ua,42,205637,Arkham Horror: The Card Game,2016,8.06025,8.00078,239
ua,43,253344,Cthulhu: Death May Die,2019,8.32273,7.99983,44
ua,44,310100,Nemesis: Lockdown,2022,8.40571,7.99979,35
ua,45,335764,"Unmatched: Battle of Legends, Volume Two",2021,8.56400,7.99646,25
ua,46,256960,Pax Pamir: Second Edition,2019,8.27451,7.99632,51
ua,47,246900,Eclipse: Second Dawn for the Galaxy,2020,8.20746,7.99576,67
ua,48,283948,Marco Polo II: In the Service of the Khan,2019,8.32683,7.98268,41
ua,49,185343,Anachrony,2017,8.18529,7.97817,68
ua,50,249259,War Chest,2018,8.19453,7.97476,64
ua,51,162886,Spirit Island,2017,8.07172,7.97473,145
ua,52,199792,Everdell,2018,8.08154,7.97341,130
ua,53,247763,Underwater Cities,2018,8.17588,7.96948,68
ua,54,277085,Love Letter,2019,8.12333,7.96751,90
ua,55,183394,Viticulture Essential Edition,2015,8.02651,7.96685,235
ua,56,281549,Beast,2023,8.18125,7.96257,64
ua,57,331106,The Witcher: Old World,2023,8.32895,7.96089,38
ua,58,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,8.09940,7.95961,100
ua,59,28720,Brass: Lancashire,2007,8.12683,7.95657,82
ua,60,340466,Unfathomable,2021,8.10920,7.94920,87
ua,61,12333,Twilight Struggle,2005,8.04833,7.94538,135
ua,62,205896,Rising Sun,2018,8.10116,7.93992,86
ua,63,257499,Arkham Horror (Third Edition),2018,8.08375,7.93934,96
ua,64,305096,Endless Winter: Paleoamericans,2022,8.26905,7.93900,42
ua,65,310448,Zombie Teenz Evolution,2020,8.69444,7.92786,18
ua,66,164928,Orléans,2014,8.06827,7.92749,98
ua,67,124361,Concordia,2013,8.07340,7.92668,94
ua,68,279537,The Search for Planet X,2020,8.33333,7.91706,33
ua,69,124742,Android: Netrunner,2012,8.08590,7.91027,78
ua,70,165722,KLASK,2014,8.16604,7.90784,53
ua,71,230802,Azul,2017,7.94801,7.90619,327
ua,72,54138,Imperial 2030,2009,8.33871,7.89891,31
ua,73,170216,Blood Rage,2015,7.95667,7.89193,210
ua,74,161970,Alchemists,2014,8.02979,7.88555,94
ua,75,103343,A Game of Thrones: The Board Game (Second Edition),2011,7.95222,7.88543,203
ua,76,310873,Carnegie,2022,8.46957,7.88117,23
ua,77,333255,Keep the Heroes Out!,2022,8.20238,7.88028,42
ua,78,182874,Grand Austria Hotel,2015,8.04615,7.87323,78
ua,79,161533,Lisboa,2017,8.40400,7.86610,25
ua,80,316377,7 Wonders (Second Edition),2020,8.03544,7.86528,79
ua,81,366161,Wingspan Asia,2022,8.21053,7.85788,38
ua,82,248562,Mage Knight: Ultimate Edition,2018,8.48571,7.84978,21
ua,83,68448,7 Wonders,2010,7.87932,7.84151,352
ua,84,262712,Res Arcana,2019,7.91790,7.83595,162
ua,85,281259,The Isle of Cats,2019,7.90588,7.83492,187
ua,86,225694,Decrypto,2018,7.93120,7.83010,131
ua,87,329593,Settlement,2021,8.18889,7.82227,36
ua,88,274637,"Unmatched: Battle of Legends, Volume One",2019,7.96000,7.82114,95
ua,89,146886,La Granja,2014,8.13659,7.81560,41
ua,90,274638,Unmatched: Robin Hood vs. Bigfoot,2019,8.07059,7.81285,51
ua,91,216132,Clans of Caledonia,2017,7.94505,7.80972,97
