country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
uy,1,291457,Gloomhaven: Jaws of the Lion,2020,9.11111,8.97543,27
uy,2,167355,Nemesis,2018,9.10000,8.86363,15
uy,3,233078,Twilight Imperium: Fourth Edition,2017,9.24444,8.85187,9
uy,4,96848,Mage Knight Board Game,2011,9.22222,8.83197,9
uy,5,167791,Terraforming Mars,2016,8.84386,8.78314,57
uy,6,174430,Gloomhaven,2017,8.88889,8.70141,18
uy,7,220308,Gaia Project,2017,9.02000,8.68434,10
uy,8,182028,Through the Ages: A New Story of Civilization,2015,8.82500,8.65853,20
uy,9,304510,Pampero,2023,9.07143,8.60401,7
uy,10,342942,Ark Nova,2021,8.77368,8.60161,19
uy,11,12333,Twilight Struggle,2005,8.71739,8.57640,23
uy,12,169786,Scythe,2016,8.65000,8.57288,42
uy,13,316554,Dune: Imperium,2020,8.77500,8.57257,16
uy,14,193738,Great Western Trail,2016,8.64348,8.50572,23
uy,15,230914,Carcassonne Big Box 6,2017,9.25000,8.46789,4
uy,16,109276,Kanban: Driver's Edition,2014,8.70833,8.44926,12
uy,17,125153,The Gallerist,2015,8.71818,8.43676,11
uy,18,180263,The 7th Continent,2017,8.77778,8.43413,9
uy,19,249277,Brazil: Imperial,2021,8.88333,8.37776,6
uy,20,341169,Great Western Trail: Second Edition,2021,8.71875,8.34402,8
uy,21,200680,Agricola (Revised Edition),2016,8.57667,8.32823,12
uy,22,266192,Wingspan,2019,8.39889,8.31642,36
uy,23,312484,Lost Ruins of Arnak,2020,8.43913,8.31033,23
uy,24,164153,Star Wars: Imperial Assault,2014,8.63333,8.30483,9
uy,25,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,8.48125,8.29698,16
uy,26,182874,Grand Austria Hotel,2015,8.58000,8.28630,10
uy,27,120677,Terra Mystica,2012,8.43158,8.27749,19
uy,28,173346,7 Wonders Duel,2015,8.31753,8.27043,62
uy,29,285774,Marvel Champions: The Card Game,2019,8.52727,8.26255,11
uy,30,300531,Paleo,2020,8.50000,8.25775,12
uy,31,31260,Agricola,2007,8.36538,8.25374,26
uy,32,177736,A Feast for Odin,2016,8.52000,8.23202,10
uy,33,84876,The Castles of Burgundy,2011,8.29091,8.22561,44
uy,34,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,8.45833,8.21945,12
uy,35,161936,Pandemic Legacy: Season 1,2015,8.36000,8.21681,20
uy,36,146021,Eldritch Horror,2013,8.30667,8.21140,30
uy,37,110327,Lords of Waterdeep,2012,8.34091,8.21101,22
uy,38,171623,The Voyages of Marco Polo,2015,8.36667,8.17844,15
uy,39,367220,Sea Salt & Paper,2022,8.87500,8.17110,4
uy,40,25613,Through the Ages: A Story of Civilization,2006,8.57143,8.16945,7
uy,41,82222,Xia: Legends of a Drift System,2014,8.63667,8.16795,6
uy,42,295947,Cascadia,2021,8.30500,8.16456,20
uy,43,237182,Root,2018,8.21951,8.15135,41
uy,44,124361,Concordia,2013,8.28500,8.14557,20
uy,45,230253,Star Realms: Frontiers,2018,8.54286,8.14462,7
uy,46,199792,Everdell,2018,8.23333,8.13063,27
uy,47,170216,Blood Rage,2015,8.19318,8.13017,44
uy,48,188834,Secret Hitler,2016,8.21379,8.11861,29
uy,49,104162,Descent: Journeys in the Dark (Second Edition),2012,8.36364,8.11322,11
uy,50,521,Crokinole,1876,8.41111,8.10590,9
uy,51,40834,Dominion: Intrigue,2009,8.30769,8.09711,13
uy,52,28143,Race for the Galaxy,2007,8.32500,8.09689,12
uy,53,102794,Caverna: The Cave Farmers,2013,8.43750,8.09551,8
uy,54,317985,Beyond the Sun,2020,8.64000,8.09328,5
uy,55,293014,Nidavellir,2020,8.38889,8.08601,9
uy,56,182134,Evolution: Climate,2016,8.75000,8.07217,4
uy,56,253344,Cthulhu: Death May Die,2019,8.75000,8.07217,4
uy,56,364011,Great Western Trail: Argentina,2022,8.75000,8.07217,4
uy,59,73439,Troyes,2010,8.31818,8.07174,11
uy,60,205637,Arkham Horror: The Card Game,2016,8.18000,8.07157,25
uy,61,271320,The Castles of Burgundy,2019,8.60000,8.06025,5
uy,62,184267,On Mars,2020,8.50000,8.05171,6
uy,62,256382,Disney Villainous: The Worst Takes it All,2018,8.50000,8.05171,6
uy,62,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.50000,8.05171,6
uy,65,77423,The Lord of the Rings: The Card Game,2011,8.42857,8.04529,7
uy,66,201808,Clank!: A Deck-Building Adventure,2016,8.13704,8.03795,27
