country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
vn,1,162886,Spirit Island,2017,9.31731,9.16194,26
vn,2,248562,Mage Knight: Ultimate Edition,2018,9.36364,9.01150,11
vn,3,182028,Through the Ages: A New Story of Civilization,2015,9.12419,8.99966,31
vn,4,224517,Brass: Birmingham,2018,9.06154,8.91658,26
vn,5,96848,Mage Knight Board Game,2011,8.97263,8.83633,27
vn,6,188920,This War of Mine: The Board Game,2017,9.03333,8.79129,15
vn,7,179803,Arcadia Quest: Inferno,2017,9.33333,8.73802,6
vn,8,108018,Riichi Mahjong,,9.62500,8.73333,4
vn,9,12493,Twilight Imperium: Third Edition,2005,9.31667,8.72394,6
vn,10,220308,Gaia Project,2017,8.96786,8.71457,14
vn,11,363633,Shu's Tactics,2023,9.40000,8.69510,5
vn,12,316554,Dune: Imperium,2020,8.83750,8.69084,24
vn,13,184151,Legend of the Five Rings: The Card Game,2017,9.50000,8.63535,4
vn,14,205896,Rising Sun,2018,8.67037,8.54593,27
vn,15,172386,Mombasa,2015,8.76667,8.54289,15
vn,16,115746,War of the Ring: Second Edition,2011,8.81667,8.53745,12
vn,17,266507,Clank! Legacy: Acquisitions Incorporated,2019,9.37500,8.53737,4
vn,18,2093,Mahjong,1850,9.20000,8.53125,5
vn,19,28720,Brass: Lancashire,2007,8.71111,8.52569,18
vn,20,255984,Sleeping Gods,2021,8.88889,8.51888,9
vn,21,205637,Arkham Horror: The Card Game,2016,8.62759,8.51298,29
vn,22,342942,Ark Nova,2021,8.65750,8.49245,20
vn,23,199792,Everdell,2018,8.58750,8.45183,24
vn,24,31260,Agricola,2007,8.59179,8.45029,23
vn,25,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,8.60500,8.44270,20
vn,26,244271,Dice Throne: Season Two – Battle Chest,2018,8.75000,8.42711,10
vn,27,182874,Grand Austria Hotel,2015,8.57143,8.41814,21
vn,28,84876,The Castles of Burgundy,2011,8.48750,8.41443,44
vn,29,383179,Age of Innovation,2023,9.03000,8.39197,5
vn,30,104162,Descent: Journeys in the Dark (Second Edition),2012,8.70000,8.38208,10
vn,31,146021,Eldritch Horror,2013,8.59333,8.38143,15
vn,32,237182,Root,2018,8.47833,8.37270,30
vn,33,344258,That Time You Killed Me,2021,8.72222,8.37041,9
vn,34,310873,Carnegie,2022,8.65455,8.36703,11
