bgg_id,name,year
1329,Hyle,1979
10550,Big Boggle,1979
310,Wizard's Quest,1979
538,Manager,1979
9211,Screwball Scramble,1979
162,The Awful Green Things From Outer Space,1979
13166,Let's Go Fishin',1979
2911,Point-Blank,1979
2240,Mad Magazine Card Game,1979
121,Dune,1979
18529,The Penguin Book of Card Games,1979
3527,Iliad: The Most Renowned War Legend,1979
10152,Super Simon,1979
1424,Book of Lists Game,1979
7934,Imperial Governor & Strategos,1979
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979
905,Vagabondo,1979
244,Circus Maximus,1979
6086,Okinawa: The Bloodiest Battle of the Pacific Ocean,1979
1717,"Freedom in the Galaxy: The Star Rebellions, 5764 AD",1979
39,Darkover,1979
1516,USAC Auto Racing,1979
4772,Simon de Montfort,1979
5589,Full House,1979
9504,Corteo,1979
5777,Electronic Detective,1979
1604,The Mad Magazine Game,1979
5651,The Longest Day,1979
4738,Dead Stop!,1979
1997,Zargo's Lords: Magic Duels for World Power,1979
10534,Napoleon's Art of War: Eylau & Dresden,1979
4294,The Thin Red Line: A Game of the Battle of Waterloo,1979
11139,"Bloody April: The Battle of Shiloh, 1862",1979
8328,Paratroop,1979
3626,Demons,1979
1783,The Creature That Ate Sheboygan,1979
4146,"Arcola: The Battle for Italy, 1796",1979
1697,Hundred Days Battles,1979
11510,"Robert at Bannockburn: The Battle of Bannockburn, 1314",1979
1674,Naval War,1979
2097,Middle Sea: Empires of the Feudal Age,1979
11855,"Tamburlaine the Great: The Battle of Angorra, 1402",1979
3625,DeathMaze,1979
1857,Time War: A Game of Time Travel and Conflict,1979
6896,MechWar 2: Red Star / White Star,1979
4255,Ney vs. Wellington: The Battle of Quatre Bras,1979
4299,Battle: The Game of Strategy,1979
22,Magic Realm,1979
1175,Movies and Money,1979
11027,Reich: The Iron Dream of German Unification,1979
1789,Raiders and Traders: The Heroic Age of Greece,1979
5666,Strolling Bowling,1979
1649,Colonisator: The Twelve Planets' War,1979
4353,Vector 3,1979
8740,Imperium Romanum: The Clash of Legions,1979
4121,Road to the Rhine,1979
1695,The Legend of Robin Hood,1979
40974,Superpoly,1979
7556,Panzer Battles: Tactical Armored Warfare in World War II,1979
5195,The Farming Game,1979
23,Divine Right,1979
7063,Double Star,1979
6228,Rolling Thunder,1979
6689,Alien,1979
13995,La Bataille d'Espagnol: Talavera,1979
4293,The Great Redoubt: A Game of the Battle of Borodino,1979
727,Chinese Civil War,1979
3677,Ultimatum: A Game of Nuclear Confrontation,1979
5220,Star Trek Game,1979
1896,The American Dream Game,1979
2891,Starfire,1979
4295,Murfreesboro: A Game of the Battle of Stones River,1979
3053,Bonaparte in Italy,1979
4252,Battle of the Bulge,1979
2743,Starfall,1979
3174,Titan Strike!,1979
4085,Leningrad,1979
1694,Little Round Top: The South's Best Chance at Gettysburg,1979
3673,Hot Spot,1979
1684,Intern,1979
1599,StarGate,1979
5265,Commando,1979
10183,Napoleon at Leipzig,1979
2800,The Ironclads: A Tactical Level Game of Naval Combat in the American Civil War 1861-1865,1979
3039,Swordquest,1979
7636,"Marita-Merkur: The Campaign in the Balkans, 1940-41",1979
4316,"Belter: Mining the Asteroids, 2076",1979
2254,Title Bout,1979
7399,The Allowance Game,1979
4245,Asteroid Zero-Four,1979
6914,Beda Fomm,1979
2709,The Beastlord,1979
8245,Bloody Buna,1979
3160,Holy War,1979
8324,The China War: Sino-Soviet Conflict in the 1980s,1979
2885,C.V.: A Game of the Battle of Midway,1979
17482,Amirauté,1979
9150,Dark December,1979
2757,Marine: 2002 – A Game of the First Lunar War,1979
1589,Star Fleet Battles,1979
71,Civilization,1980
364,Samarkand,1980
7106,Tabu: The Game of Aztecs,1980
524,Desperados,1980
1076,Captain Future,1980
748,Trax,1980
2478,Quirks,1980
1013,Energie Poker,1980
4297,Dallas: A Game of the Ewing Family,1980
1152,The Mystic Wood,1980
18870,Wykersham,1980
19475,Spingo,1980
983,Tangoes,1980
103,Titan,1980
6907,Mai '68 Le jeu,1980
3238,Rally: Risk and Evaluation on All Roads in the Worlds,1980
9234,My Word,1980
427,Grass,1980
3932,Interplay,1980
4260,Odyssey: The Gods Clash,1980
2146,Warlock,1980
25097,Die Maus: Mausefalle,1980
798,Ace of Aces: Handy Rotary Series,1980
4117,Ruffhouse,1980
2826,Jackpot Yahtzee,1980
6486,Save the President,1980
2531,Valley Of The Four Winds,1980
7803,O'NO 99,1980
201281,Apocalypse: The Game of Nuclear Devastation,1980
10718,The Garden Game,1980
8533,Quintillions,1980
5564,Oh What a Mountain!,1980
2728,The Generals,1980
4196,Fantasy Forest,1980
2262,Mythology: A Game of Adventure in the Age of Heros,1980
1405,Adventurer: A Game of Man to Man Brawling in the Far Future,1980
7924,Harvest Time,1980
4118,Slide 5,1980
6732,Aces High,1980
5420,Assassin: The Final Game,1980
5203,Annihilator / OneWorld,1980
12837,Hedgehog's Revenge!,1980
626,War and Peace,1980
4181,Tri-Trac,1980
5503,TimeTripper,1980
2193,Food Fight,1980
3251,Barbarian Kings,1980
1780,Knights of Camelot,1980
1560,Hero: A Game of Adventure in the Catacombs,1980
11446,La Ruta del Tesoro,1980
4746,Dungeons & Dragons Computer Labyrinth Game,1980
5483,"Kursk: History's Greatest Tank Battle, July 1943",1980
1720,Dragon Pass,1980
6792,Star Wars: Hoth Ice Planet Adventure Game,1980
3468,Panzer Pranks,1980
623,Swashbuckler: A Game of Swordplay and Derring-do,1980
911,Empires of the Middle Ages,1980
5957,"Tito and his Partisan Army: Yugoslavia, 1941-45",1980
1983,Frontier-6,1980
9398,War Games Rules 3000 BC to 1485 AD,1980
3090,Doctor Who: The Game of Time & Space,1980
2720,Shooting Stars: A Tactical Game of Fighter Combat in Space,1980
3248,Citadel of Blood,1980
4208,"The Kaiser's Battle: The German Offensive, March 1918",1980
10392,Campaigns of Napoleon,1980
3533,Arena of Death,1980
17041,La Bataille d'Austerlitz,1980
12142,"The Battle of Austerlitz, December 2, 1805",1980
6402,Forward to Richmond!,1980
10543,The Drive on Metz,1980
9188,SPI Football,1980
4298,Beachhead: A Game of Island Invasions in the South Pacific,1980
8364,Assault on Leningrad,1980
5479,"Drive on Washington: The Battle of Monocacy Junction, July 9, 1864",1980
2388,Dark Nebula,1980
1772,Asteroid,1980
9086,"Eylau: Napoleon's Winter Battle, 1807",1980
5437,Raid on Iran,1980
7938,The Battle of Prague,1980
4147,Spellbinder,1980
4275,Pea Ridge: The Gettysburg of the West March 7-8 1862,1980
8887,Battle for Stalingrad,1980
2599,Valkenburg Castle,1980
7566,The War of the Worlds,1980
9577,"Across Suez: The Battle of the Chinese Farm October 15, 1973",1980
4215,One-Page Bulge,1980
6918,1940,1980
2214,Saga,1980
2376,The Wreck of the B.S.M. Pandora,1980
4839,Berlin '85: The Enemy at the Gates,1980
3393,Public Assistance,1980
2160,Robots!,1980
4271,Artifact,1980
3901,Sturm Nach Osten,1980
7365,"Wilson's Creek: The West's First Fight, August 10, 1861",1980
8721,Hof Gap: The Nurnberg Pincer,1980
3036,Kung Fu 2100,1980
4291,"Armor: A Tactical Game of Armored Combat in Western Europe, 1944-1945",1980
7109,Fifth Corps: The Soviet Breakthrough at Fulda,1980
4289,88: A Tactical Game of Armored Combat on the North African Front,1980
1982,Black Spy,1981
2952,Trivial Pursuit: Genus Edition,1981
477,The Broadway Game,1981
98,Axis & Allies,1981
6983,Jungle,1981
193,Fill or Bust,1981
139,Hoax,1981
5082,Rush Hour,1981
9177,Armchair Cricket,1981
9681,Nosey Neighbor Card Game,1981
487,Power,1981
6109,Mafia,1981
30640,Rio,1981
721,Oregon Trail,1981
4268,Razzle,1981
6909,Fief,1981
6044,Attila: The Huns Invasion,1981
30,Dark Tower,1981
6053,Little Big Horn,1981
6054,Norge: The First Battle Between the Germans and the Allies,1981
6125,Austerlitz: The Battle of the 3 Emperors,1981
1323,Cry Havoc,1981
6937,1829 Northern Board,1981
27552,Élve fogd el,1981
7811,Stranded,1981
6129,Jena: Napoleon's Victories and Defeats,1981
701,A House Divided: War Between the States 1861-65,1981
