bgg_id,name,comment
300905,Top Ten,<https://rezensionen-fuer-millionen.blogspot.com/2021/12/top-ten.html>
291453,Scout,<https://rezensionen-fuer-millionen.blogspot.com/2022/01/scout.html>
246784,Cryptid,<https://rezensionen-fuer-millionen.blogspot.com/2021/12/cryptid.html>
342942,Ark Nova,<https://rezensionen-fuer-millionen.blogspot.com/2021/12/arche-nova.html>
346482,Voll Verplant,
227224,The Red Cathedral,<https://rezensionen-fuer-millionen.blogspot.com/2022/01/die-rote-kathedrale.html>
306173,Lisbon Tram 28,<https://rezensionen-fuer-millionen.blogspot.com/2021/12/28.html>
346703,7 Wonders: Architects,<https://rezensionen-fuer-millionen.blogspot.com/2021/12/7-wonders-architects.html>
291874,Dwergar,<https://rezensionen-fuer-millionen.blogspot.com/2021/11/zwergar.html>
260180,Project L,<https://rezensionen-fuer-millionen.blogspot.com/2021/11/project-l.html>
341918,Tulpenfieber,<https://rezensionen-fuer-millionen.blogspot.com/2021/11/tulpenfieber.html>
327831,Lost Cities: Roll & Write,<https://rezensionen-fuer-millionen.blogspot.com/2021/11/lost-cities-roll-write.html>
330665,Bellum Magica,<https://rezensionen-fuer-millionen.blogspot.com/2021/11/bellum-magica.html>
342207,echoes: The Dancer,<https://rezensionen-fuer-millionen.blogspot.com/2021/10/echoes.html>
342210,echoes: The Cocktail,<https://rezensionen-fuer-millionen.blogspot.com/2021/10/echoes.html>
342209,echoes: The Microchip,<https://rezensionen-fuer-millionen.blogspot.com/2021/10/echoes.html>
314491,Meadow,<https://rezensionen-fuer-millionen.blogspot.com/2021/10/meadow.html>
283211,Harry Potter: Death Eaters Rising,<https://rezensionen-fuer-millionen.blogspot.com/2021/10/harry-potter-death-eaters-rising.html>
285774,Marvel Champions: The Card Game,<https://rezensionen-fuer-millionen.blogspot.com/2021/10/marvel-champions-das-kartenspiel.html>
318560,Witchstone,<https://rezensionen-fuer-millionen.blogspot.com/2021/09/witchstone.html>
328479,Living Forest,<https://rezensionen-fuer-millionen.blogspot.com/2022/05/living-forest.html>
314503,CODEX Naturalis,<https://rezensionen-fuer-millionen.blogspot.com/2022/04/codex-naturalis.html>
295947,Cascadia,<https://rezensionen-fuer-millionen.blogspot.com/2022/04/cascadia.html>
339484,Savannah Park,<https://rezensionen-fuer-millionen.blogspot.com/2022/04/savannah-park.html>
296043,Four Gardens,<https://rezensionen-fuer-millionen.blogspot.com/2022/04/im-schatten-der-pagode.html>
341048,Free Ride,<https://rezensionen-fuer-millionen.blogspot.com/2022/04/freie-fahrt.html>
349463,"Dungeons, Dice, & Danger",<https://rezensionen-fuer-millionen.blogspot.com/2022/03/dungeons-dice-danger.html>
296912,Fort,<https://rezensionen-fuer-millionen.blogspot.com/2022/03/fort.html>
322195,Kokopelli,<https://rezensionen-fuer-millionen.blogspot.com/2022/03/kokopelli.html>
297531,Watch,<https://rezensionen-fuer-millionen.blogspot.com/2022/03/watch.html>
340237,Wonder Book,<https://rezensionen-fuer-millionen.blogspot.com/2022/03/wonder-book.html>
343905,Boonlake,<https://rezensionen-fuer-millionen.blogspot.com/2022/02/boonlake.html>
341416,High Score,<https://rezensionen-fuer-millionen.blogspot.com/2022/02/high-score.html>
346501,Mille Fiori,<https://rezensionen-fuer-millionen.blogspot.com/2022/02/mille-fiori.html>
329839,So Clover!,<https://www.spiel-des-jahres.de/kritikenrundschau-so-kleever-wortfelder-im-gruenen-klee/>
329084,Space Dragons,<https://www.spiel-des-jahres.de/kritikenrundschau-space-dragons-wo-die-wilden-drachen-wohnen/>
325698,Juicy Fruits,<https://www.spiel-des-jahres.de/kritikenrundschau-juicy-fruits/>
316554,Dune: Imperium,<https://www.spiel-des-jahres.de/kritikenrundschau-dune-imperium-wueste-wuerzmischung/>
330174,Explorers,<https://www.spiel-des-jahres.de/explorers-kreuzzuege-durch-die-landschaft/>
319135,Nightmare Horror Adventures: Welcome to Crafton Mansion,<https://www.spiel-des-jahres.de/kritikendrundschau-nightmare-gruselige-familienbande/>
299684,Khôra: Rise of an Empire,
336791,Vendetta,<https://rezensionen-fuer-millionen.blogspot.com/2021/08/vendetta.html>
303672,Trek 12,
300753,Cross Clues,
308765,Praga Caput Regni,<https://rezensionen-fuer-millionen.blogspot.com/2021/06/praga-caput-regni.html>
34375,Go Nuts!,
547398,Beyond the Sun,
324467,Hey Yo: The Card Game to the Beat,<https://gamesweplay.de/heyyo.html>
241477,Karak,<https://gamesweplay.de/karak.html>
0,Spooky Boo!,<https://gamesweplay.de/spookyboo.html>
329845,Stella: Dixit Universe,
248861,MetroX,Voll verplant
279537,The Search for Planet X,
