bgg_id,name,year,kennerspiel_score
538,Manager,1979,0.18207894389069526
1329,Hyle,1979,0.9999999999996609
9211,Screwball Scramble,1979,4.007130930878017e-18
2240,Mad Magazine Card Game,1979,2.5688897055619043e-25
18529,The Penguin Book of Card Games,1979,0.0016120133385839194
162,The Awful Green Things From Outer Space,1979,0.9999997968963854
1661,Balance of Power,1979,3.764023746011513e-14
121,Dune,1979,1.0
10550,Big Boggle,1979,2.1377985483561968e-14
10152,Super Simon,1979,5.882292623841594e-31
9715,Crossado,1979,1.2415052476364268e-20
14346,I Vant to Bite Your Finger,1979,2.8834021652514135e-20
5589,Full House,1979,3.9646041609998574e-13
34452,Jagd durch Entenhausen,1979,5.103391076329302e-05
81111,Elfstedentocht,1979,2.3973458418953086e-19
310,Wizard's Quest,1979,1.0
7898,Warp n Woof,1979,2.0930851219159133e-10
11848,Finger Hockey,1979,1.0743316652801308e-06
2479,Candidate,1979,3.668448901605719e-12
244,Circus Maximus,1979,1.0
1228,Maneuver,1979,1.0736487662768903e-09
2911,Point-Blank,1979,2.095010461646002e-17
1674,Naval War,1979,7.838627623574915e-10
1689,War of the Networks,1979,5.293516674323528e-21
31327,My Dog Has Fleas,1979,1.491213101690786e-28
364,Samarkand,1980,2.9440921114076576e-07
71,Civilization,1980,1.0
1076,Captain Future,1980,2.739543517043714e-06
427,Grass,1980,1.642091618699896e-08
748,Trax,1980,5.935846045518138e-06
2478,Quirks,1980,3.070339214216675e-09
1013,Energie Poker,1980,3.8023766870338863e-07
7106,Tabu: The Game of Aztecs,1980,1.0
524,Desperados,1980,6.917131212623457e-12
25097,Die Maus: Mausefalle,1980,2.8518126959281374e-26
19475,Spingo,1980,4.913631711877601e-17
6907,Mai '68 Le jeu,1980,0.999999999999506
3238,Rally: Risk and Evaluation on All Roads in the Worlds,1980,0.00037755125960806004
1152,The Mystic Wood,1980,3.0832624219447696e-08
24465,The World's Greatest Travel Game,1980,0.9999335697703295
3611,Backgammon 4,1980,7.312323196600146e-17
4094,Slip Disc,1980,2.879712577198031e-20
7803,O'NO 99,1980,0.6000791522404566
983,Tangoes,1980,2.015468742861686e-11
18870,Wykersham,1980,0.9991357109885469
3932,Interplay,1980,3.812363778624388e-07
798,Ace of Aces: Handy Rotary Series,1980,2.799963860047948e-09
25917,Cup-Game,1980,2.8290321508175044e-11
7924,Harvest Time,1980,2.588467874962028e-29
4260,Odyssey: The Gods Clash,1980,0.9999999999999993
5082,Rush Hour,1981,6.03538924554725e-19
39850,Sympathie,1981,3.731907816718711e-22
18859,Wunderwatschler,1981,7.494283894893785e-18
1982,Black Spy,1981,0.0028852935103948706
9681,Nosey Neighbor Card Game,1981,3.160034193414644e-10
6983,Jungle,1981,5.5135701673179205e-11
30640,Rio,1981,1.1500557087081432e-24
193,Fill or Bust,1981,9.42309103801685e-12
477,The Broadway Game,1981,0.9987617128969963
139,Hoax,1981,1.5790041640814586e-09
10651,Deflection,1981,7.037189788531725e-17
17453,Die Tour,1981,0.9999999999983589
6937,1829 Northern Board,1981,1.0
98,Axis & Allies,1981,1.0
16108,Akropolis,1981,1.3911817017930254e-12
