bgg_id,name,udo_bartsch,tobias_franke,manuel_fritsch,martina_fuchs,karsten_grosser,maren_hoffmann,stephan_kessler,tim_koch,michaela_poignee,harald_schrapers,nico_wagner,julia_zerlik
334986,Daybreak,8,,8,,,,8,,,9,,
373106,Sky Team,9,,,,,9,9,,,8,,
394889,Cabanga!,6,,,,,7,7,,,6,,
383458,Sides,6,,,,,8,8,,,8,,
390094,FTW?!,,,,,,,,,,8,,
321608,Hegemony,,,9,,,9,,,,,,
231733,Obsession,,,,,,9,7,,,,,
415513,Life in Reterra,4,,,,,,5,,,6,,
397431,Moorland,6,,,,,,6,,,8,,
351040,Ready Set Bet,,,5,,,7,6,,,7,,
348450,Lacrimosa,6,,6,,,6,5,,,,,
400058,It’s a Balloon!?,5,,,,,,5,,,,,
401885,Schätz it if you can,7,,,,,,7,,,6,,
365258,World Wonders,,,,,,,,,,5,,
348096,Kites,6,,,,,,,,,7,,
412156,Rauf und Runter,5,,,,,,,,,,,
328211,Vegetable Stock,,,,,,,5,,,,,
387378,MLEM,,,,,,7,,,,7,,
406323,Snack Rabbits,5,,,,,,,,,,,
390092,Ticket to Ride Legacy: Legends of the West,7,,,,,,,,,9,,
376683,In the Footsteps of Darwin,6,,,,,7,,,,8,,
381078,Comet,6,,7,,,8,7,,,8,,
350933,The Guild of Merchant Explorers,7,,,,,,7,,,8,,
391163,Forest Shuffle,7,,,,,,,,,8,,
303057,Pan Am,6,,,,,,7,,,8,,
393888,Passt nicht!,7,,,,,,5,,,8,,
396542,The Same Game,8,,8,,,8,8,,,8,,
387776,Verplant & Zugestellt,,,,,,7,7,,,8,,
344114,Bag of Chips,7,,7,,,5,8,,,7,,
352515,Trio,6,,,,,,,,,7,,
361025,Come Together,,,,,,,,,,7,,
366013,Heat,7,,9,,,7,7,,,7,,
368017,Point City,6,,,,,7,6,,,7,,
394887,Surfosaurus MAX,6,,8,,,,7,,,7,,
382304,Tea Time Crime,4,,,,,,5,,,7,,
371942,The White Castle,6,,8,,,8,6,,,,,
396790,Nukleum,,,8,,,,,,,,,
