bgg_id,name,description
411567,The Gang,""
425235,Point of View: Lost Places,""
393307,Tower Up,""
416851,Castle Combo,""
394338,Chocolates,""
415836,Slide,""
419639,Krakel Orakel,""
422732,Agent Avenue,""
412927,Quando,""
402283,Courtisans,""
419074,Fairy Ring,""
403754,Middle Ages,""
413246,Bomb Busters,""
421006,The Lord of the Rings: Duel for Middle-earth,""
385761,Faraway,""
240980,Blood on the Clocktower,""
400314,Apiary,""
410201,Wyrmspan,""
227935,Wonderland's War,""
367966,Endeavor: Deep Sea,""
418059,SETI: Search for Extraterrestrial Intelligence,""
429293,The Fellowship of the Ring: Trick-Taking Game,""
409496,The Quacks of Quedlinburg: The Duel,""
417197,Rebirth,""
