,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
bgg_id,name,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,best_rating,total,rank
7,Wolfgang Kramer,0,1,5,6,1,2,4,7,0,3,12,15,0,0,0,0,7.57192,28,1
11,Klaus Teuber,0,0,4,4,0,1,0,1,0,1,3,4,0,0,0,0,6.92496,9,2
42,Michael Kiesling,0,0,3,3,2,0,3,5,0,0,4,4,0,0,0,0,7.64154,12,3
6940,Inka Brand,2,1,0,3,0,2,0,2,0,0,2,2,0,0,0,0,7.30708,7,4
6941,Markus Brand,2,1,0,3,0,2,0,2,0,0,2,2,0,0,0,0,7.30708,7,4
24,Alex Randolph,0,2,1,3,0,1,0,1,0,0,13,13,0,0,0,0,6.16439,17,6
2,Reiner Knizia,0,1,1,2,0,4,6,10,1,5,17,23,0,0,1,1,7.52,36,7
79463,Marie Fort,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,6.22982,4,8
79462,Wilfried Fort,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,6.22982,4,8
1727,Bruno Cathala,0,1,1,2,0,0,0,0,1,0,7,8,0,0,1,1,7.97244,11,10
256,Heinz Meister,0,2,0,2,0,3,1,4,0,5,2,7,0,0,0,0,5.77272,13,11
9,Alan R. Moon,0,0,2,2,0,0,2,2,0,0,5,5,0,0,0,0,7.2774,9,12
500,Manfred Ludwig,0,2,0,2,0,2,0,2,0,1,1,2,0,0,0,0,6.03505,6,13
9714,Antoine Bauza,1,0,1,2,0,1,0,1,1,0,2,3,0,0,0,0,7.97244,6,14
117,Andreas Seyfarth,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,7.78103,4,15
267,Klaus Zoch,0,2,0,2,0,0,1,1,0,0,1,1,0,0,0,0,6.35463,4,16
8397,Andreas Pelikan,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,7.23376,3,17
11767,Alexander Pfister,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,8.03342,4,18
10067,Steffen Bogen,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,6.89543,3,19
1783,Peter-Paul Joopen,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,5.7805,3,20
10525,Donald X. Vaccarino,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7.48239,2,21
789,Vlaada Chvátil,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,1,7.45382,4,22
381,Rüdiger Dorn,1,0,0,1,0,1,5,6,0,0,3,3,0,0,0,0,7.39145,10,23
80162,Wolfgang Warsch,1,0,0,1,1,2,1,4,0,0,0,0,0,0,0,0,7.68647,5,24
645,Kai Haferkamp,0,1,0,1,0,3,0,3,0,9,0,9,0,0,0,0,5.55318,13,25
4884,Marco Teubner,0,1,0,1,0,3,0,3,0,6,1,7,0,0,0,0,6.11633,11,26
1288,Jens-Peter Schliemann,0,1,0,1,0,2,0,2,0,3,2,5,0,0,0,0,6.23973,8,27
285,Roberto Fraga,0,1,0,1,0,2,0,2,1,1,1,3,0,0,0,0,7.31396,6,28
129,Bernhard Weber,0,1,0,1,0,1,0,1,0,2,1,3,0,0,0,0,6.23973,5,29
11825,Michael Menzel,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.89987,2,30
111626,Urtis Šulinskas,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5.68328,2,31
86,Michael Schacht,0,0,1,1,0,0,0,0,0,1,8,9,0,0,0,0,6.82891,10,32
4,Sid Sackson,0,0,1,1,0,0,0,0,0,0,7,7,0,0,0,0,7.12471,8,33
154,Rudi Hoffmann,0,0,1,1,0,0,0,0,0,0,6,6,0,0,0,0,5.9057,7,34
173,Günter Burkhardt,0,1,0,1,0,0,0,0,0,1,5,6,0,0,0,0,6.02315,7,35
60,Dirk Henn,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,6.91012,6,36
398,Klaus-Jürgen Wrede,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,7.29756,4,37
308,Guido Hoffmann,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,5.76489,4,38
7808,Lukas Zach,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,6.88379,3,39
461,Michael Palm,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,6.88379,3,39
45563,Thomas Sing,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,7.66741,3,41
179,Virginia Charves,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,5.76434,3,42
8,Richard Ulrich,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,7.57192,2,43
12367,Dirk Baumann,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,6.44564,2,44
85283,Lena Burkhardt,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.97517,2,45
44,Yves Hirschfeld,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.69822,2,46
580,Christian Wolf,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.63641,2,47
579,Stefanie Rohner,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5.63641,2,47
1391,Geni Wyss,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0,2,49
8324,Peter Schackert,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5.53636,2,50
122804,Randy Flynn,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.77391,1,51
51055,Bruno Sautter,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.42992,1,52
51255,Ludovic Roudy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.42992,1,52
1219,Gary Grady,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4123,1,54
1221,Raymond Edwards,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4123,1,54
1220,Suzanne Goldberg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4123,1,54
70631,Johannes Sich,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.25246,1,57
11547,Jean-Louis Roubira,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.09388,1,58
28912,Christophe Raimbault,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.95904,1,59
6569,Karen Seyfarth,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.9204,1,60
25,Richard Borg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.71514,1,61
7708,Susan McKinley Ross,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.61677,1,62
60694,Christian Stöhr,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.4697,1,63
119515,Daniela Stöhr,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.4697,1,63
5491,Dorothy Garrels,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.35096,1,65
5492,Fritz Ifland,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.35096,1,65
4088,Manfred Burggraf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.35096,1,65
5493,Werner Scheerer,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.35096,1,65
5490,Werner Schlegel,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.35096,1,65
5495,Wolf Hoermann,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.35096,1,65
634,Ephraim Hertzano,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.27712,1,71
166,David Parlett,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.26571,1,72
4155,Thomas Liesching,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.25122,1,73
210,Rob Bontenbal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.19074,1,74
1056,Bill Payne,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.11925,1,75
130,Werner Hodel,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.04106,1,76
250,David G. Watts,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.70048,1,77
432,Michel Matschoss,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.60825,1,78
111338,Elizabeth Hargrave,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.90633,1,79
92425,Peter Rustemeyer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.30857,1,80
133041,Aske Christiansen,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.76209,1,81
42380,Johannes Krenner,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.51002,1,82
110904,Markus Slawitscheck,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.51002,1,82
66638,Brian Gomez,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.57054,1,84
1496,Brian Yu,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.55245,1,85
137,Carol Wiseley,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.50919,1,86
83763,Masaru Aoki,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.50919,1,86
3882,Michelle Schanen,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.92657,1,88
44455,Carmen Kleinert,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.70319,1,89
