bgg_id,name,year,award,winner,nominated,recommended,sonderpreis,bayes_rating,designer
1,Die Macher,1986,spiel,False,False,True,,7.04394,1
5,Acquire,1963,spiel,False,False,True,,7.12471,4
9,El Caballero,1998,spiel,False,False,True,,5.89105,7
9,El Caballero,1998,spiel,False,False,True,,5.89105,8
10,Elfenland,1998,spiel,True,True,True,,6.44584,9
11,Bohnanza,1997,spiel,False,False,True,,6.93611,10
13,CATAN,1995,spiel,True,True,True,,6.92496,11
14,Basari,1998,spiel,False,False,True,,6.07964,12
19,Wacky Wacky West,1991,spiel,True,True,True,,5.86552,11
38,Runes,1981,spiel,False,False,True,,5.53254,34
38,Runes,1981,spiel,False,False,True,,5.53254,35
38,Runes,1981,spiel,False,False,True,,5.53254,36
41,Can't Stop,1980,spiel,False,False,True,,6.74517,4
42,Tigris & Euphrates,1997,spiel,False,False,True,,7.52,2
44,David & Goliath,1997,spiel,False,False,True,,5.95169,12
45,Perudo,1800,spiel,True,True,True,,6.71514,25
46,Medici,1995,spiel,False,False,True,,6.81537,2
47,Chinatown,1999,spiel,False,False,True,,7.10589,37
49,Mamma Mia!,1998,spiel,False,False,True,,6.21663,10
54,Tikal,1999,spiel,True,True,True,,7.12975,42
54,Tikal,1999,spiel,True,True,True,,7.12975,7
57,Schoko & Co.,1987,spiel,False,False,True,,5.69822,44
57,Schoko & Co.,1987,spiel,False,False,True,,5.69822,45
59,Giganten,1999,spiel,False,True,True,,6.00587,48
60,Vinci,1999,spiel,False,False,True,,6.53245,49
66,Löwenherz,1997,spiel,False,False,True,,6.3598,11
72,Verräter,1998,spiel,False,False,True,,6.08659,59
73,Show Manager,1996,spiel,False,False,True,,6.19539,60
88,Torres,1999,spiel,True,True,True,,6.77934,42
88,Torres,1999,spiel,True,True,True,,6.77934,7
93,El Grande,1995,spiel,True,True,True,,7.57192,7
93,El Grande,1995,spiel,True,True,True,,7.57192,8
94,Union Pacific,1999,spiel,False,True,True,,6.64167,9
110,Auf Achse,1987,spiel,True,True,True,,5.84277,7
112,Condottiere,1995,spiel,False,False,True,,6.61952,79
112,Condottiere,1995,spiel,False,False,True,,6.61952,80
112,Condottiere,1995,spiel,False,False,True,,6.61952,72460
115,I'm the Boss!,1994,spiel,False,False,True,,6.31892,4
117,Ta Yü,1999,spiel,False,False,True,,6.12236,83
118,Modern Art,1992,spiel,False,False,True,,7.30341,2
120,Hoity Toity,1990,spiel,True,True,True,,6.21752,11
122,Quo Vadis?,1992,spiel,False,False,True,,6.01934,2
125,Money!,1999,spiel,False,False,True,,6.10549,2
128,Take it Easy!,1983,spiel,False,False,True,,6.15196,84
132,Caesar & Cleopatra,1997,spiel,False,False,True,,6.10156,87
135,Kontor,1999,spiel,False,False,True,,5.62134,86
145,Metropolis,1984,spiel,False,False,True,,5.63375,4
150,PitchCar,1995,spiel,False,False,False,Dexterity Game,6.9781,5
152,Mü & More,1995,spiel,False,False,True,,6.31302,74
152,Mü & More,1995,spiel,False,False,True,,6.31302,75
155,Was sticht?,1993,spiel,False,False,True,,5.86887,1
175,What the Heck?,1988,spiel,False,False,True,,6.01742,24
196,Kremlin,1986,spiel,False,False,True,,6.34872,172
199,Manhattan,1994,spiel,True,True,True,,6.39647,117
202,Targui,1988,spiel,False,False,True,,5.73178,199
202,Targui,1988,spiel,False,False,True,,5.73178,200
214,Café International,1989,spiel,True,True,True,,5.9057,154
217,A la carte,1989,spiel,False,True,True,,6.0845,1
223,Expedition,1996,spiel,False,False,True,,5.97453,7
247,Gloria Picktoria,1996,spiel,False,False,True,,5.79821,165
247,Gloria Picktoria,1996,spiel,False,False,True,,5.79821,9
256,Mississippi Queen,1997,spiel,True,True,True,,6.04106,130
263,Manitou,1997,spiel,False,False,True,,5.59687,173
267,Tycoon,1998,spiel,False,False,True,,5.81934,7
267,Tycoon,1998,spiel,False,False,True,,5.81934,139
278,Catan Card Game,1996,spiel,False,False,True,,6.50575,11
300,Tutankhamen,1993,spiel,False,False,True,,5.7437,2
301,Campanile,1996,spiel,False,False,True,,5.59791,114
301,Campanile,1996,spiel,False,False,True,,5.59791,115
302,Forum Romanum,1988,spiel,False,False,True,,5.7476,7
314,Highlanders,1993,spiel,False,False,True,,5.56618,193
