rank,bgg_id,page_views
1,171,417911
2,2243,81378
3,2425,78210
4,811,77730
5,27443,75661
6,29351,71850
7,5072,47506
8,4192,34623
9,39856,30757
10,5432,25804
11,1111,23958
12,11733,21243
13,1602,18311
14,41114,15883
15,2375,14763
16,5894,14228
17,4112,13771
18,6887,13768
19,11634,13383
20,26952,12835
21,1293,12533
22,2932,11684
23,29146,10955
24,38950,9829
25,10547,9743
26,1198,8661
27,55763,8258
28,266192,8065
29,2679,7930
30,478,7498
31,215,7390
32,4815,6699
33,7108,6233
34,624,5527
35,5339,5250
36,54672,4685
37,6974,4677
38,11,4529
39,123417,4527
40,6830,3978
41,19432,3761
42,98,3447
43,14186,3398
44,157507,3232
45,140,3183
46,29741,3013
47,254640,2983
48,15,2832
49,11022,2820
50,2511,2748
51,18803,2742
52,315,2720
53,22392,2636
54,26947,2615
55,3837,2527
56,6278,2436
57,19967,2309
58,1515,2277
59,7314,2268
60,7263,2094
61,289363,2045
62,110327,2032
63,18,1924
64,5217,1690
65,1035,1679
66,278,1631
67,22895,1576
68,1501,1498
69,18602,1496
70,115746,1478
71,5588,1430
72,1915,1366
73,15162,1363
74,3464,1338
75,4862,1295
76,103885,1287
77,284083,1273
78,16986,1245
79,102652,1218
79,226610,1218
81,10630,1175
82,40270,1172
83,24396,1166
84,37111,1165
85,284108,1130
86,46213,1116
87,339,1090
88,764,1065
89,1829,1006
90,16992,989
91,550,953
91,62871,953
93,936,952
94,4052,927
95,5195,916
96,2238,909
97,5206,908
98,1923,875
99,11182,847
100,25433,843
101,110,831
102,5322,819
103,7694,797
104,3825,781
105,20281,743
106,748,741
107,32674,740
108,14247,738
109,240,689
109,219215,689
111,3988,684
112,987,681
113,713,658
114,1962,655
115,257,651
116,20100,634
117,295486,633
118,2607,626
119,2866,597
120,2060,584
121,43022,575
122,21763,562
123,3655,561
124,12942,560
125,460,555
126,5258,554
127,2680,553
128,1836,548
129,284435,527
130,21523,517
131,2770,507
132,12616,501
133,2970,492
134,4171,485
135,420,474
136,22,472
137,29500,471
138,10383,468
139,2166,467
140,865,460
141,25972,457
142,6578,456
143,2639,440
144,37917,438
145,372,434
146,2808,432
147,2987,430
148,2342,422
149,7006,417
150,25417,416
151,11104,414
152,1577,399
152,3086,399
154,1000,398
155,256,388
155,618,388
157,162,387
158,266083,381
159,1992,378
160,9446,375
160,66188,375
162,8636,368
163,29368,366
164,2363,359
165,199042,349
166,475,348
167,101721,341
168,1431,335
169,2228,333
169,4105,333
171,25895,332
172,8728,330
173,1498,315
173,3836,315
175,13726,311
176,54137,304
177,22825,303
178,589,296
179,28650,291
180,11375,288
181,263918,287
182,2063,279
183,1202,278
183,2802,278
185,3307,274
186,6411,268
187,2130,265
188,119,262
189,33604,261
190,1442,257
191,828,250
192,6333,248
192,9755,248
194,3577,247
195,3080,245
195,162886,245
197,1147,243
198,10595,238
199,3463,237
200,2995,235
201,12004,231
201,13642,231
201,21882,231
204,1708,228
204,118410,228
206,5651,227
207,244,223
208,484,221
208,13715,221
208,144845,221
211,5455,216
212,3966,214
213,27970,213
214,15064,212
215,2123,209
216,6778,204
217,247763,203
218,34303,202
218,183251,202
220,313,200
220,15364,200
222,464,199
223,35722,198
224,620,197
224,15363,197
224,45315,197
227,4881,196
228,2975,193
229,8095,187
230,27172,182
231,3572,178
231,207830,178
233,1890,177
233,8122,177
235,23308,175
236,8719,173
237,3228,172
238,1986,171
239,1820,170
239,2348,170
239,12146,170
242,20436,167
243,3041,166
244,5260,165
245,15033,164
246,4737,162
247,2003,160
247,2484,160
249,269526,159
250,12071,157
251,6346,155
252,130,154
252,710,154
254,37175,153
254,48871,153
256,908,152
256,13208,152
258,1423,149
258,22168,149
260,17522,148
260,17835,148
262,1729,147
263,1875,146
263,12601,146
263,15731,146
263,203195,146
267,13728,142
268,3518,136
268,225694,136
270,16807,134
271,7420,133
272,12628,130
273,2326,129
274,2545,128
274,13754,128
276,1231,127
276,66875,127
276,126100,127
279,2209,124
279,239188,124
281,13019,123
282,2338,122
282,269603,122
282,270314,122
285,2334,121
286,12645,120
287,8033,118
287,34615,118
289,8945,116
289,10890,116
289,13414,116
289,21955,116
293,804,115
294,2038,114
295,1259,113
296,1558,112
297,761,110
298,13563,107
298,244144,107
300,3637,106
300,6929,106
302,22863,105
302,32597,105
304,22245,104
304,267370,104
306,4957,100
307,504,99
307,5824,99
307,41789,99
307,63370,99
311,216132,97
312,1901,96
312,2149,96
314,19329,95
315,25674,94
315,30527,94
317,4527,93
317,16533,93
317,24151,93
320,62637,92
320,296514,92
322,25234,90
323,878,89
324,2518,87
324,7240,87
324,265684,87
327,12493,86
328,7483,85
328,85287,85
330,5685,84
330,20080,84
330,186302,84
333,2072,83
334,1753,82
335,141418,81
336,1588,80
337,238094,78
338,252929,77
339,7480,76
340,194594,75
340,241266,75
342,986,74
343,3466,73
343,4816,73
343,296517,73
346,264295,72
347,8051,71
348,679,69
349,2667,68
350,1806,67
350,2510,67
352,1690,66
353,14074,65
353,17379,65
353,139326,65
353,255674,65
357,2213,64
357,10997,64
357,201808,64
360,6653,63
361,3182,62
362,36250,60
362,141517,60
364,12962,58
364,37120,58
366,1504,56
366,3201,56
368,4249,55
369,1669,54
369,28396,54
371,1403,53
371,9264,53
371,9752,53
371,19735,53
375,1970,52
375,42206,52
375,257965,52
375,266078,52
379,13361,51
379,67928,51
379,76684,51
382,252,50
382,10578,50
382,148767,50
382,192291,50
386,125311,49
386,287693,49
388,241491,48
389,279,47
389,803,47
391,246696,46
391,258309,46
393,117,45
393,23427,45
395,3598,42
395,6955,42
395,14077,42
395,147352,42
399,41010,41
399,105037,41
399,269624,41
402,300,40
402,54138,40
402,155426,40
405,25030,39
405,243430,39
405,261265,39
408,12065,38
408,173441,38
410,7834,37
411,18243,36
411,62207,36
411,154586,36
414,24525,35
414,33767,35
414,157969,35
414,270673,35
418,226013,33
419,191894,32
420,3062,31
420,4558,31
420,111828,31
423,261114,30
424,12597,29
425,21207,28
425,38388,28
427,1969,27
427,37001,27
429,4413,26
430,7310,25
430,54998,25
430,205766,25
430,234673,25
430,243752,25
430,257957,25
436,17724,24
436,84419,24
436,130188,24
439,255545,23
440,186095,22
440,234429,22
440,245085,22
440,256838,22
444,1345,21
445,94746,20
446,176229,19
446,180937,19
446,271774,19
449,19914,18
450,21441,17
451,2998,16
452,115997,15
453,111532,13
453,241164,13
455,4675,11
455,194285,11
457,14832,7
