bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,101619,1,137,1,39,1,31,1,35,1,24,1,2690,1,22,1,29,1,29,1,273,1,25,1,25,1,,,43,1,408,2,49,1,63,1,228,1,20,1,47,2,153,1,28,1,193,1,25,1,25,1,31,1,629,2,22,1,39,1,450,2,5388,2,29,1,24,1,370,3,25730,1,41,1,13926,1,439,1,57,1,1867,2,1249,2,32,1,3588,2,,,17,1,36,1,31,1,26,1,26,1,54,1,218,1,18,1,1670,1,1983,1,31,1,332,2,22,1,18,1,618,2,108,1,30,1,1246,2,24,1,25,1,27,1,89,1,3173,2,5219,2,22,1,26,1,30,1,234,1,309,1,56,1,418,3,24,1,,,19,1,67,1,56,1,24,1,29,1,247,3,215,1,21,1,,,54,1,75,1,65,1,335,1,138,2,23,1,30,1,19,1,25,1,23,1,25,1,1038,2,36,1,347,2,,,21,1,38,1,23,1,22,1,22,1,23,1,,,1767,3,25,1,21,1,4487,1,25,1,250,1,8936,2,27,1,30,1,25,1,29,1,30,1,18,1,90,3,80,1,337,1,155,1,,,168,1,249,3,,,33,1,995,2,28,2,,,199,1,54,1,1,1,654,1,23,1,163,1,347,1,28,1,,,221,3,69,1,140,1,30,1,22,1,1214,1,,,22,1,,,28,1,,,25,1,28,1,29,1,37,1,27,1,,,2681,2
2223,51629,2,,,,,,,,,,,832,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,,,,,,,871,1,,,,,,,1361,14,,,,,,,13036,6,,,3464,3,,,,,1422,3,2243,1,,,3027,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,,,277,3,,,,,,,,,8806,1,1602,12,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,618,1,,,,,,,,,3,7,,,,,46,5,,,,,,,,,,,,,486,11,,,537,1,,,,,,,,,,,,,,,,,2843,1,,,,,2674,2,,,,,3502,5,,,,,,,,,,,,,,,8,2,,,121,2,,,,,60,5,,,,,331,9,,,,,,,,,,,251,3,,,,,280,2,,,,,399,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2476,3
1406,38917,3,35,2,,,,,,,,,33,13,,,,,,,,,,,,,,,,,221,4,,,,,,,,,,,,,,,55,4,,,,,,,126,9,,,8,3,343,3,2489,8,,,,,365,4,15570,4,16,4,2390,6,56,5,9,3,533,5,1103,3,,,1812,5,40,1,,,,,7,2,,,,,,,,,,,377,5,,,,,258,3,,,,,147,10,17,5,8,2,3139,1,,,,,,,19,3,1026,6,1989,8,,,10,2,9,3,,,,,,,,,,,,,,,10,4,,,,,,,78,5,,,,,,,,,,,,,,,38,6,,,,,,,,,,,,,922,4,7,8,238,4,,,,,,,,,,,,,,,,,373,12,,,,,283,13,,,66,6,1972,8,,,,,,,10,3,12,2,,,239,1,,,26,12,56,6,,,,,319,2,,,,,552,7,,,,,,,,,,,,,,,,,60,8,,,,,88,6,,,,,,,,,175,5,,,,,,,6,4,,,,,,,,,,,6,3,,,1171,5
29351,38063,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625,7,,,,,,,4972,21,,,101,57,204,2,,,,,163,18,,,123,71,,,,,,,,,,,,,,,,,,,216,8,,,,,,,,,,,24,28,24,4,,,,,,,,,,,,,,,108,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,2,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,74,44,,,,,,,,,,,,,,,,,,,,,436,10,,,,,,,,,,,25926,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,38,,,,,,,,,,,,,,,,,,,,,,,2112,1,,,,,,,,,411,4,,,,,,,,,,,,,,,,,,,,,,,,
10816,36960,5,,,,,,,,,,,357,4,,,,,,,,,,,7,2,,,14,2,144,6,,,,,,,,,,,9,3,,,32,8,,,,,,,210,8,,,,,184,4,2123,10,,,,,45,8,16037,3,,,2715,4,78,4,,,314,6,375,6,,,1593,6,,,,,,,,,,,,,,,,,,,336,7,35,6,,,108,7,,,,,264,3,,,,,219,5,,,,,,,,,1438,5,2766,5,,,,,,,,,,,12,2,173,5,,,,,,,,,,,,,,,,,56,4,,,,,,,,,,,,,,,,,,,,,,,10,2,,,635,7,10,5,172,5,17,1,,,,,,,,,,,,,,,831,4,,,,,551,8,,,120,4,3678,4,,,,,,,,,,,,,49,4,,,54,5,,,,,,,,,,,,,641,4,,,,,,,17,2,,,,,,,12,4,125,5,,,,,203,4,,,,,,,,,154,6,,,,,,,11,3,,,,,,,,,,,,,,,26,84
2397,35572,6,10,3,8,3,,,8,2,,,617,3,,,,,10,2,93,2,16,2,,,,,11,3,620,1,,,,,9,4,,,55,1,28,2,,,39,6,,,9,2,10,2,227,7,,,6,5,557,1,4083,5,,,,,446,1,13211,5,21,2,1898,9,24,12,20,2,2659,1,224,13,,,1305,9,,,,,6,3,,,,,,,17,2,,,,,742,2,,,6,2,140,6,,,,,249,4,33,2,7,3,17,14,,,,,6,3,10,5,821,7,2053,7,,,,,,,33,3,15,2,,,32,23,6,2,,,,,12,3,,,,,9,2,59,6,30,7,,,,,38,2,6,6,,,,,13,8,,,,,,,,,,,,,313,15,8,6,292,3,,,,,9,2,,,,,,,6,2,,,552,9,9,2,,,652,5,,,,,1292,12,,,,,,,6,5,,,,,29,6,,,39,9,56,7,,,,,159,4,,,,,698,3,10,3,,,5,6,,,,,61,8,,,14,3,228,4,,,,,,,13,2,,,,,9,2,78,8,10,1,,,,,11,2,,,,,,,,,,,8,2,,,421,14
463,26032,7,,,11,2,,,,,,,,,,,,,,,10,4,,,,,,,,,26,13,,,,,,,,,9,5,,,,,15,19,,,,,,,230,6,,,,,66,13,1803,12,,,,,,,16342,2,10,6,,,24,11,5,9,,,142,22,,,,,,,,,,,,,,,,,,,,,,,65,23,,,,,26,14,,,,,92,14,,,,,30,13,,,,,,,,,747,8,1969,10,,,,,,,,,,,,,42,12,,,,,,,5,8,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,16,10,4,71,12,,,,,,,,,,,,,,,,,373,11,,,,,857,4,,,,,1456,10,,,,,,,,,,,,,,,,,,,10,12,,,,,24,9,,,,,164,14,,,,,,,,,,,50,9,,,,,27,15,,,,,80,7,,,,,,,,,10,16,,,,,,,,,,,,,,,,,,,,,,,912,7
2093,25288,8,,,,,,,,,,,56,11,,,,,,,19,3,,,,,,,,,44,11,,,,,6,5,7,2,,,,,,,18,17,6,2,,,,,103,12,,,,,24,24,863,23,,,,,,,10274,8,10,7,1149,16,,,,,43,14,56,33,,,652,17,,,,,,,,,12,2,,,,,,,6,2,59,24,7,7,,,27,13,,,,,47,24,14,6,,,57,11,,,,,,,,,430,19,5472,1,,,10,3,,,,,2,3,,,150,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,3,,,,,,,,,,,,,232,18,,,46,19,,,,,,,,,,,,,,,,,214,21,,,,,270,15,,,,,1350,11,,,,,6,2,,,,,,,,,,,29,11,10,13,,,,,,,15,2,,,150,16,,,7,2,,,,,,,223,4,,,,,25,17,,,,,33,16,,,,,,,,,487,2,,,,,,,,,,,21,2,,,,,,,,,13,1,2469,4
2181,23786,9,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,241,3,,,,,,,,,,,,,,,22,14,,,,,,,124,10,,,,,91,9,1616,13,,,,,285,5,8015,10,5,15,1069,18,95,3,9,4,,,268,8,,,989,10,,,,,,,,,,,,,,,,,,,358,6,,,,,72,11,,,,,183,7,,,,,173,8,,,,,,,14,4,69,70,1099,16,,,,,,,41,2,,,,,35,17,,,,,,,,,,,,,6,3,48,7,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,461,12,11,3,136,6,,,,,,,,,,,,,,,,,2418,2,,,,,299,11,,,133,3,2424,6,,,,,,,6,4,,,,,40,5,,,53,6,32,8,,,,,,,41,1,,,1133,1,,,,,,,,,,,280,2,,,,,117,6,,,,,173,5,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,6
2162,21409,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,3,57,,,,,,,112,11,,,,,18,29,1252,16,,,,,,,9850,9,,,2,136,,,,,,,66,31,,,707,14,,,,,4,4,,,,,,,,,,,,,16,37,,,,,,,,,,,178,8,,,,,,,,,,,,,4,8,484,14,6,106,,,,,,,4,4,,,,,48,11,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,38,3,16,,,,,,,,,,,,,,,,,,,644,6,,,,,191,21,,,11,11,6628,3,,,,,,,,,,,,,3,10,,,,,3,16,,,,,,,,,,,76,26,,,,,,,,,,,,,,,,,24,19,,,,,75,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,8
