bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,113031,1,189,1,42,1,31,1,47,1,33,1,3303,1,27,1,27,1,29,1,292,1,21,1,24,1,,,45,1,392,2,37,1,87,1,328,1,23,1,60,2,175,1,23,1,303,1,45,1,31,1,43,1,746,1,22,1,59,1,385,2,5226,3,18,1,22,1,378,3,,,26847,1,68,1,16595,1,432,1,47,1,1874,2,908,2,32,1,3420,2,,,25,1,43,1,35,1,28,1,20,1,49,1,162,1,20,1,1251,1,1930,1,32,1,281,2,20,1,22,1,699,1,123,1,21,1,1629,2,28,1,21,1,40,1,79,1,3449,2,3719,2,23,1,27,1,27,1,307,1,308,1,74,1,349,3,26,1,23,1,55,1,51,1,30,1,22,1,303,3,169,1,26,1,,,61,1,71,1,58,1,340,1,142,2,27,1,26,1,23,1,24,1,36,1,25,1,937,3,58,1,499,1,,,23,1,45,1,17,1,25,1,22,1,39,1,,,2116,2,21,1,26,1,3543,1,27,1,286,1,17529,2,23,1,31,1,32,1,30,1,28,1,22,1,117,2,54,1,409,1,147,1,,,158,1,256,3,,,30,1,958,1,34,1,,,143,1,,,71,1,3,1,612,1,30,1,259,1,342,1,29,1,,,403,3,93,1,146,1,53,1,18,1,1314,1,,,27,1,,,29,1,,,25,1,27,1,27,1,5,1,28,1,,,2690,2
2223,47854,2,,,,,,,,,,,828,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27,,,,,,,643,2,,,,,,,1557,15,,,,,,,,,12818,5,,,2774,2,,,,,1247,3,1119,1,,,2607,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,,,304,6,,,,,,,,,7926,1,1573,9,,,,,1,5,,,,,,,,,,,,,,,,,,,,,502,1,,,,,,,,,4,6,,,,,38,6,,,,,,,,,,,,,465,12,,,335,2,,,,,,,,,,,,,,,,,3391,1,,,,,3061,2,,,,,2808,5,,,,,,,,,,,,,,,7,3,,,112,2,,,,,65,5,,,,,243,8,,,,,,,,,,,,,264,3,,,,,253,3,,,,,455,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421,3
1406,38977,3,37,2,,,,,,,,,36,14,,,,,,,,,,,,,,,,,195,4,,,,,,,,,,,,,,,61,4,,,,,,,117,12,,,11,2,237,3,2472,10,,,,,365,4,,,15175,3,17,3,2422,4,32,11,15,2,446,5,550,4,,,2081,5,44,1,,,,,11,2,,,,,,,,,,,378,4,,,,,234,3,,,,,156,10,31,3,6,3,3995,1,,,,,,,35,2,1165,6,1909,6,,,12,3,14,2,,,,,,,,,,,,,12,2,,,,,,,63,5,,,,,,,,,,,,,,,42,5,,,,,,,,,,,,,951,2,13,6,224,3,,,,,,,,,,,,,,,,,432,11,,,,,301,11,,,67,7,1987,8,,,,,,,6,3,6,2,,,239,1,,,18,13,35,9,,,,,300,2,,,,,577,3,,,,,,,,,,,,,,,,,,,55,8,,,,,104,6,,,,,,,,,166,5,,,,,,,11,2,,,,,,,,,,,5,2,,,1104,5
29351,36989,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,9,,,,,,,,,4754,21,,,144,50,159,2,,,,,106,16,,,119,70,,,,,,,,,,,,,,,,,,,214,8,,,,,,,,,,,26,27,14,5,,,,,,,,,,,,,,,115,48,,,,,,,,,,,,,,,,,,,,,,,,,,,395,2,114,2,,,,,,,,,,,,,,,,,,,,,,,,,,,76,42,,,,,,,,,,,,,,,,,,,,,529,9,,,,,,,,,,,24933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,29,,,,,,,,,,,,,,,,,,,,,,,,,1916,1,,,,,,,,,394,4,,,,,,,,,,,,,,,,,,,,,,,,
2397,35784,5,14,3,8,3,,,8,2,,,735,3,,,,,8,2,82,2,5,3,,,,,9,3,569,1,,,,,15,5,,,64,1,17,2,,,37,7,,,10,2,10,2,241,5,,,7,3,620,1,4573,5,,,,,435,2,,,13339,4,12,7,1893,8,30,12,14,4,2665,1,199,8,,,1174,9,,,,,4,3,,,,,,,8,2,,,,,756,2,,,2,2,141,5,,,,,277,5,51,2,10,2,20,14,,,,,7,3,18,3,715,8,1867,7,,,,,,,29,3,9,2,,,34,18,8,2,,,9,3,,,,,4,4,46,8,23,7,,,,,39,2,5,5,,,,,12,8,,,,,,,,,,,,,318,15,5,11,203,4,,,,,9,2,,,,,,,7,2,,,570,8,6,2,,,782,5,,,,,1391,12,,,,,,,2,6,,,,,40,5,,,58,6,58,5,,,,,96,4,,,,,490,4,7,3,,,8,6,,,,,,,70,8,,,7,3,248,4,,,,,,,3,3,,,,,5,2,76,7,11,1,,,,,4,4,,,,,,,,,,,4,3,,,419,14
10816,35266,6,,,,,,,,,,,393,4,,,,,,,,,,,10,2,,,11,2,156,6,,,,,,,,,,,13,3,,,17,20,,,,,,,152,8,,,,,172,4,2289,11,,,,,37,8,,,15212,2,,,2298,6,73,4,,,306,6,345,6,,,1533,6,,,,,,,,,,,,,,,,,,,318,6,37,6,,,109,7,,,,,297,4,,,,,305,5,,,,,,,,,1334,5,2834,4,,,,,,,,,,,8,3,224,4,,,,,,,,,,,,,,,39,5,,,,,,,,,,,,,,,,,,,,,,,9,2,,,621,6,6,10,161,6,10,1,,,,,,,,,,,,,,,1017,4,,,,,535,8,,,153,4,3259,4,,,,,,,,,,,,,32,6,,,42,9,,,,,,,,,,,,,477,5,,,,,,,,,11,3,,,,,,,7,4,139,6,,,,,133,5,,,,,,,,,112,6,,,,,,,11,3,,,,,,,,,,,,,,,9,157
2093,24966,7,,,,,,,,,,,44,12,,,,,,,11,3,,,,,,,,,28,13,,,,,53,3,5,2,,,,,,,13,26,5,2,,,,,87,14,,,,,39,18,805,26,,,,,,,,,10325,8,12,6,1076,17,,,,,33,14,67,27,,,691,16,,,,,,,,,3,2,,,,,,,3,2,57,23,13,7,,,41,13,,,,,67,23,1,7,,,103,10,,,,,,,,,422,19,5138,1,,,16,2,,,,,,,,,129,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,3,,,,,,,,,,,,,260,17,,,37,20,,,,,,,,,,,,,,,,,246,21,,,,,259,16,,,,,1418,11,,,,,6,2,,,,,,,,,,,33,10,5,16,,,,,,,11,2,,,130,14,,,4,2,,,,,,,,,252,4,,,,,26,16,,,,,36,13,,,,,,,,,481,3,,,,,,,,,,,12,2,,,,,,,,,8,1,2377,4
2181,23114,8,,,,,,,,,,,,,,,,,,,,,13,2,,,,,,,200,3,,,,,,,,,,,,,,,27,11,,,,,,,128,10,,,,,95,8,1826,13,,,,,218,5,,,8196,10,16,4,1092,16,99,3,15,3,,,209,7,,,960,11,,,,,,,,,,,,,,,,,,,312,7,,,,,60,11,,,,,359,3,,,,,407,3,,,,,,,17,4,48,91,1080,15,,,,,,,47,2,,,,,65,11,,,,,,,,,,,15,2,67,4,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,537,9,22,2,165,5,,,,,,,,,,,,,,,,,1261,3,,,,,300,12,,,157,3,2182,7,,,,,,,13,2,,,,,50,4,,,74,4,37,8,,,,,,,64,1,,,944,2,,,,,,,,,,,,,348,2,,,,,144,5,,,,,202,4,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,7
2162,21424,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,10,36,,,,,,,141,9,,,,,35,20,1098,17,,,,,,,,,9985,9,,,,,,,,,,,85,24,,,734,14,,,,,5,2,,,,,,,,,,,,,25,36,,,,,,,,,,,174,9,,,,,,,,,,,,,5,8,559,14,5,106,,,,,,,3,4,,,,,75,10,,,,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,38,6,9,,,,,,,,,,,,,,,,,,,600,7,,,,,179,22,,,15,11,6600,3,,,,,,,,,,,,,6,8,,,,,8,13,,,,,,,,,,,75,22,,,,,,,,,,,,,,,,,,,22,21,,,,,87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,9
463,20775,10,,,10,2,,,,,,,,,,,,,,,9,4,,,,,,,,,30,12,,,,,,,,,5,5,,,,,20,16,,,,,,,187,7,,,,,68,10,1685,14,,,,,,,,,11031,7,3,23,,,40,6,1,14,,,102,18,,,,,,,,,,,,,,,,,,,,,,,58,22,,,,,24,14,,,,,78,20,,,,,38,12,,,,,,,,,739,7,2086,5,,,,,,,,,,,,,62,12,,,,,3,8,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,14,3,12,43,15,,,,,,,,,,,,,,,,,355,15,,,,,862,3,,,,,1611,10,,,,,,,,,,,,,,,,,,,20,10,,,,,18,9,,,,,129,15,,,,,,,,,,,,,40,9,,,,,38,10,,,,,58,10,,,,,,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,974,6
