bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,311667,1,140,1,50,1,21,1,40,1,23,1,6518,1,8,1,26,1,30,1,41,1,3,1,8,1,1152,1,33,1,10,1,41,1,,,103,1,1014,1,141,1,91,2,607,1,13,1,36,1,430,1,35,1,576,1,21,1,21,1,29,1,1868,1,13,1,46,1,913,1,16849,1,15,1,27,1,9,1,1908,1,18,1,90161,1,72,1,33803,1,638,1,84,1,6137,1,3429,1,9,1,44,1,17992,1,,,20,1,46,1,567,1,8,2,32,1,13,1,50,1,91,1,17,1,4793,1,1227,1,44,1,1263,1,12,1,24,1,2572,1,759,1,,,39,1,2883,2,23,1,17,1,18,1,452,1,23675,1,3788,2,28,1,19,1,29,2,1889,1,828,1,81,1,566,2,28,1,10,1,184,1,517,1,63,1,25,1,32,1,12,1,761,1,596,1,10,1,21,1,24,1,178,1,103,1,188,1,625,1,410,2,26,1,95,1,19,1,26,1,25,1,18,1,4452,1,55,1,848,1,15,1,,,18,1,22,2,16,1,6,1,22,1,36,1,,,27,1,12427,1,48,1,15,1,8966,1,12,1,27,1,2272,1,15416,1,9,1,19,1,12,1,21,1,23,1,33,1,40,1,36,1,272,3,83,1,911,1,648,1,,,504,1,805,2,,,45,2,3246,1,28,2,,,192,1,,,201,1,59,1,1040,1,10,1,79,1,182,1,6019,1,25,1,,,1113,1,115,1,349,1,26,1,37,1,3844,1,,,13,1,,,688,1,,,29,1,19,1,18,1,7,1,12,2,,,10990,1
2223,68265,2,,,,,,,,,,,1260,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,20,,,,,,,770,2,,,,,106,8,2284,16,,,,,,,,,,,18366,4,,,5703,2,,,,,3320,3,1554,2,,,,,2804,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,3,,,,,517,5,,,,,,,,,6063,2,2676,4,,,,,2,6,,,,,,,77,12,,,,,,,,,,,,,,,,,140,3,,,,,,,,,,,14,5,,,,,157,3,,,,,,,,,,,,,875,12,,,392,3,,,,,,,,,,,,,,,,,,,,,4447,2,,,,,7936,2,,,,,,,2695,8,,,,,,,,,,,,,,,,,,,16,3,,,362,2,,,34,2,149,7,,,,,206,16,,,,,,,,,,,,,273,4,,,,,,,1629,2,,,,,348,4,,,,,,,,,1284,3,,,,,,,,,,,8,7,,,,,,,,,,,1665,6
1406,63848,3,35,2,,,,,,,,,676,4,,,,,,,19,3,,,,,67,3,,,,,,,,,,,588,2,,,,,,,,,,,,,,,107,3,,,,,,,258,8,,,13,2,251,3,4244,3,,,,,,,815,2,,,23247,2,14,5,3567,3,81,4,21,3,506,5,968,3,,,,,3460,3,29,1,,,,,9,2,,,,,,,17,2,,,,,671,4,,,,,672,2,,,,,248,13,112,2,,,10,2,2042,3,,,,,,,19,3,3047,4,2558,5,,,14,2,15,3,,,,,,,122,9,,,,,133,2,11,4,,,,,,,,,138,4,43,8,,,,,,,,,,,,,,,92,6,,,,,,,,,,,,,2799,2,20,6,411,2,,,,,,,35,1,,,,,,,,,,,,,1174,9,,,,,707,10,,,,,297,5,4469,6,,,,,,,,,,,11,2,21,2,,,1345,1,,,63,11,86,8,,,,,314,5,,,,,900,3,,,,,,,,,,,,,,,,,,,,,230,10,,,,,202,5,10,4,,,,,,,283,8,,,,,,,11,3,,,16,4,,,,,,,16,1,,,1489,8
2397,54434,4,18,3,10,4,,,8,2,,,1266,2,,,,,,,9,6,,,,,125,2,,,5,3,,,,,7,3,502,3,,,,,15,5,,,10,4,14,3,,,84,6,,,2,2,11,2,386,5,,,11,5,471,2,5362,2,,,,,,,457,4,,,22435,3,12,6,3103,5,24,10,12,4,3431,2,300,14,,,,,2364,7,,,,,5,5,,,,,,,,,17,3,,,,,883,2,,,9,2,251,8,,,,,490,4,70,4,,,6,3,23,14,,,,,6,3,35,2,2127,9,1541,10,,,,,,,121,2,26,2,,,46,21,13,2,,,,,14,2,,,,,5,6,8,3,64,8,107,2,,,,,,,58,2,4,7,,,,,17,8,,,,,,,,,,,,,911,11,24,2,237,4,,,,,,,9,4,,,,,,,6,3,,,,,1287,7,1,2,,,901,7,,,,,,,1803,12,,,,,,,,,,,4,5,,,,,83,4,,,106,5,106,6,,,,,187,6,,,,,787,4,11,3,,,17,5,,,,,,,90,7,,,,,12,3,543,5,,,,,162,8,14,3,,,,,10,2,99,12,11,1,,,,,6,4,,,6,8,,,,,,,9,3,,,592,15
10816,48466,5,,,,,,,,,,,322,7,,,,,,,28,2,,,,,,,,,,,33,2,,,24,2,159,9,,,,,,,,,,,27,2,,,68,9,,,,,,,316,6,,,,,172,5,2932,10,,,,,,,136,9,,,13680,9,,,3439,4,91,3,,,494,6,358,10,,,,,2002,9,,,,,,,,,,,,,,,,,,,,,269,7,44,6,,,285,7,,,,,444,6,,,,,,,680,4,,,,,,,,,2219,8,1963,7,,,,,,,,,,,23,2,177,5,,,,,,,,,,,,,,,,,,,87,4,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,977,9,24,3,212,5,,,22,1,,,,,,,,,,,,,,,,,1594,5,,,,,2217,3,,,,,223,8,8256,2,,,,,,,,,,,,,,,,,33,7,,,76,10,,,,,,,134,8,,,,,454,6,,,,,,,,,,,,,,,,,,,20,2,347,8,,,,,156,10,,,,,,,,,1341,2,,,,,,,18,2,,,21,2,,,,,,,,,,,1847,5
2093,36742,6,,,,,,,,,,,90,14,,,,,,,,,,,,,14,5,,,,,,,,,,,145,10,,,,,7,6,10,2,,,,,,,65,10,7,2,,,,,138,20,,,,,45,21,1565,28,,,,,,,,,,,16752,5,16,3,1913,10,,,,,73,15,215,18,,,,,1374,16,,,,,,,,,9,1,,,,,,,,,5,2,94,24,14,7,,,61,13,,,,,137,17,11,9,,,,,117,10,,,,,,,,,889,22,4834,1,,,11,3,4,5,,,5,4,,,191,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,7,,,,,,,,,,,,,488,22,,,56,19,,,,,,,,,,,,,,,,,,,,,554,19,,,,,784,8,,,,,,,1566,14,,,,,,,,,,,,,,,,,,,,,49,13,21,12,,,,,,,10,1,,,344,9,,,6,2,,,,,,,,,344,3,,,,,,,164,12,,,,,82,16,,,,,,,,,550,5,,,,,,,,,,,17,3,,,,,,,,,8,1,2837,3
13,30570,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,4,,,,,,,217,11,,,4,7,42,23,3512,6,,,,,,,189,8,,,14046,7,7,10,2861,6,,,8,8,,,99,34,,,6,2,1299,20,,,,,,,,,,,,,2,4,,,,,,,858,3,,,,,,,,,,,255,11,,,7,1,,,,,,,,,,,,,765,25,1240,11,,,,,,,,,,,,,84,11,,,,,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,4,23,4,63,16,,,,,,,,,,,,,,,,,,,,,589,16,,,,,564,12,,,,,109,9,1172,16,,,,,,,,,,,,,,,,,,,,,54,12,121,5,,,,,101,9,,,,,298,14,,,,,,,,,,,,,,,,,,,,,60,24,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,,,,,,,,,,,444,18
2162,27772,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,9,59,,,,,,,168,18,,,,,32,29,1653,26,,,,,,,,,,,14460,6,,,1067,22,,,,,,,109,30,,,,,1200,21,,,,,5,4,,,,,,,,,,,,,,,27,44,,,,,,,,,,,181,15,,,,,,,15,16,,,,,,,6,10,620,30,215,39,,,,,,,4,4,,,,,61,16,,,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,49,2,17,,,,,,,,,,,,,,,,,,,,,,,697,14,,,,,283,19,,,,,26,12,4519,5,,,,,,,,,,,,,,,,,9,9,,,,,10,17,,,,,28,16,,,,,205,17,,,,,,,,,,,,,,,,,,,,,88,17,,,,,181,6,,,,,,,,,162,10,,,,,,,,,,,,,,,,,,,,,,,1578,7
2181,25692,9,,,,,,,,,,,203,10,,,,,,,,,,,,,,,,,9,2,,,,,,,221,7,,,,,,,,,,,,,,,42,17,,,,,,,163,19,,,,,128,6,1709,24,,,,,,,269,7,,,8115,18,15,4,1539,16,124,2,11,5,,,215,19,,,,,1346,18,,,,,,,,,,,,,,,,,,,,,250,8,,,,,133,10,,,,,274,9,,,,,,,271,7,,,,,,,11,6,969,19,766,16,,,,,,,31,3,,,,,36,29,,,,,,,,,,,,,,,8,2,34,10,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,18,17,8,165,6,,,,,,,,,,,,,,,,,,,,,1373,6,,,,,386,15,,,,,225,7,2462,9,,,,,,,,,,,10,3,,,,,46,5,,,100,7,43,10,,,,,50,12,7,2,,,1233,2,,,,,,,,,,,,,222,6,,,,,,,408,7,,,,,168,7,19,2,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,1198,9
1294,24005,10,,,,,,,,,,,32,22,,,,,,,9,5,,,,,,,,,,,,,,,,,5,24,,,,,,,,,,,,,,,68,8,,,,,,,,,,,,,66,16,2254,17,,,,,,,,,,,9875,13,4,27,1626,15,,,4,12,128,11,406,7,,,,,2387,6,,,,,,,,,,,,,,,10,5,,,,,176,12,,,,,,,,,,,274,8,,,,,,,11,20,,,,,6,2,5,11,2613,5,,,,,,,,,,,,,,,174,7,,,,,,,,,,,,,,,,,,,33,9,,,,,,,2,4,,,,,,,6,10,,,,,,,,,,,,,786,15,,,36,26,,,,,,,3,7,,,,,,,,,,,,,78,47,,,,,,,,,,,,,2285,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,11,,,,,319,10,,,,,,,,,,,,,33,12,,,,,,,39,26,,,,,20,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,33
