qualified_third_groups,74,77,79,80,81,82,85,87
EFGHIJKL,F,G,E,K,I,H,J,L
DFGHIJKL,D,F,H,K,I,J,G,L
DEGHIJKL,D,G,E,K,I,H,J,L
DEFHIJKL,D,F,E,K,I,H,J,L
DEFGIJKL,D,F,E,K,I,J,G,L
DEFGHJKL,D,F,E,K,J,H,G,L
DEFGHIKL,D,F,E,K,I,H,G,L
DEFGHIJL,D,F,E,I,J,H,G,L
DEFGHIJK,D,F,E,K,J,H,G,I
CFGHIJKL,C,F,H,K,I,J,G,L
CEGHIJKL,C,G,E,K,I,H,J,L
CEFHIJKL,C,F,E,K,I,H,J,L
CEFGIJKL,C,F,E,K,I,J,G,L
CEFGHJKL,C,F,E,K,J,H,G,L
CEFGHIKL,C,F,E,K,I,H,G,L
CEFGHIJL,C,F,E,I,J,H,G,L
CEFGHIJK,C,F,E,K,J,H,G,I
CDGHIJKL,C,D,H,K,I,J,G,L
CDFHIJKL,D,F,C,K,I,H,J,L
CDFGIJKL,D,F,C,K,I,J,G,L
CDFGHJKL,D,F,C,K,J,H,G,L
CDFGHIKL,D,F,C,K,I,H,G,L
CDFGHIJL,D,F,C,I,J,H,G,L
CDFGHIJK,D,F,C,K,J,H,G,I
CDEHIJKL,C,D,E,K,I,H,J,L
CDEGIJKL,C,D,E,K,I,J,G,L
CDEGHJKL,C,D,E,K,J,H,G,L
CDEGHIKL,C,D,E,K,I,H,G,L
CDEGHIJL,C,D,E,I,J,H,G,L
CDEGHIJK,C,D,E,K,J,H,G,I
CDEFIJKL,D,F,C,K,E,I,J,L
CDEFHJKL,D,F,C,K,E,H,J,L
CDEFHIKL,D,F,C,K,I,H,E,L
CDEFHIJL,D,F,C,I,E,H,J,L
CDEFHIJK,D,F,C,K,E,H,J,I
CDEFGJKL,D,F,C,K,E,J,G,L
CDEFGIKL,D,F,C,K,E,I,G,L
CDEFGIJL,D,F,C,I,E,J,G,L
CDEFGIJK,D,F,C,K,E,J,G,I
CDEFGHKL,D,F,C,K,E,H,G,L
CDEFGHJL,D,F,C,E,J,H,G,L
CDEFGHJK,D,F,C,K,J,H,G,E
CDEFGHIL,D,F,C,I,E,H,G,L
CDEFGHIK,D,F,C,K,E,H,G,I
CDEFGHIJ,D,F,C,I,J,H,G,E
BFGHIJKL,F,G,H,K,B,I,J,L
BEGHIJKL,B,G,E,K,I,H,J,L
BEFHIJKL,F,H,E,K,B,I,J,L
BEFGIJKL,F,G,E,K,B,I,J,L
BEFGHJKL,F,G,E,K,B,H,J,L
BEFGHIKL,F,H,E,K,B,I,G,L
BEFGHIJL,F,G,E,I,B,H,J,L
BEFGHIJK,F,G,E,K,B,H,J,I
BDGHIJKL,D,G,H,K,B,I,J,L
BDFHIJKL,D,F,H,K,B,I,J,L
BDFGIJKL,D,F,I,K,B,J,G,L
BDFGHJKL,D,F,H,K,B,J,G,L
BDFGHIKL,D,F,H,K,B,I,G,L
BDFGHIJL,D,F,H,I,B,J,G,L
BDFGHIJK,D,F,H,K,B,J,G,I
BDEHIJKL,D,H,E,K,B,I,J,L
BDEGIJKL,D,G,E,K,B,I,J,L
BDEGHJKL,D,G,E,K,B,H,J,L
BDEGHIKL,D,H,E,K,B,I,G,L
BDEGHIJL,D,G,E,I,B,H,J,L
